,D,norm
0,1,5.777512499e+11
1,3,30560535852.4
2,4,1.32214352012e+11
3,9,2.34450987187e+11
4,12,2.2501631482e+11
5,27(Ⅰ),3.77852606629e+11
6,27(Ⅱ),61241203401.3
7,27(Ⅲ),1.40672433929e+11
8,36(Ⅰ),5.50798293853e+11
9,36(Ⅱ),2.17883424381e+11
10,81(Ⅰ),8.49252544225e+11
11,81(Ⅱ),4.76696137161e+11
12,81(Ⅲ),1.62534731284e+11
13,81(Ⅳ),3.82702816168e+11
14,81(Ⅴ),2.11717200646e+11
15,81(Ⅵ),1.55460514708e+11
16,108(Ⅰ),1.18813164924e+12
17,108(Ⅱ),82442252424.1
18,108(Ⅲ),1.12377444702e+11
19,108(Ⅳ),6.27984482398e+11
20,108(Ⅴ),2.83007500923e+11
21,108(Ⅵ),3.05768263957e+11
22,324(Ⅰ),1.51232728358e+12
23,324(Ⅱ),3.49686493676e+11
24,324(Ⅲ),1.23915995736e+11
25,324(Ⅳ),1.34490032972e+12
26,324(Ⅴ),1.00825574928e+12
27,324(Ⅵ),5.34957267848e+11
28,324(Ⅶ),2.36535327305e+11
29,324(Ⅷ),4.27745079674e+11
30,324(Ⅸ),1.37381236211e+11
31,324(Ⅹ),1.35068987168e+11
32,324(ⅩⅠ),2.69606658384e+11
33,324(ⅩⅡ),1.57312423656e+11
34,324(ⅩⅢ),1.73190521472e+11
35,324(ⅩⅣ),1.67586823766e+11
36,324(ⅩⅤ),2.52297369713e+11
