,D,norm
0,1,2.32708312802e+11
1,3,61738074954.6
2,4,1.29858813826e+11
3,9,56713492641.9
4,12,1.39030060835e+11
5,27(Ⅰ),2.17068424922e+11
6,27(Ⅱ),1.21561643801e+11
7,27(Ⅲ),1.56740236904e+11
8,36(Ⅰ),57529985099.9
9,36(Ⅱ),2.87144214714e+11
10,81(Ⅰ),35295184763.3
11,81(Ⅱ),96690199579.3
12,81(Ⅲ),1.46235282328e+11
13,81(Ⅳ),2.75997773935e+11
14,81(Ⅴ),3.97985990394e+11
15,81(Ⅵ),1.24062239449e+11
16,108(Ⅰ),38114089506.3
17,108(Ⅱ),1.45921980502e+11
18,108(Ⅲ),62144125309.3
19,108(Ⅳ),3.51712039254e+11
20,108(Ⅴ),2.92823888851e+11
21,108(Ⅵ),2.80442712675e+11
22,324(Ⅰ),1.64134209902e+11
23,324(Ⅱ),2.18012701555e+11
24,324(Ⅲ),1.04663383365e+11
25,324(Ⅳ),2.25034275824e+11
26,324(Ⅴ),2.25641470689e+11
27,324(Ⅵ),3.53781735994e+11
28,324(Ⅶ),3.82821025338e+11
29,324(Ⅷ),3.39457438161e+11
30,324(Ⅸ),3.46993373936e+11
31,324(Ⅹ),1.58480225098e+11
32,324(ⅩⅠ),2.14502975531e+11
33,324(ⅩⅡ),4.33182613928e+11
34,324(ⅩⅢ),3.03241451201e+11
35,324(ⅩⅣ),3.23332745555e+11
36,324(ⅩⅤ),1.90389032774e+11
