,D,norm
0,1,4.47293477971e+12
1,3,1.30316541015e+11
2,4,2855988328.55
3,9,94119469610.8
4,12,3.46973849897e+11
5,27(Ⅰ),5.07958785786e+11
6,27(Ⅱ),2.69044110231e+11
7,27(Ⅲ),1.08222356315e+11
8,36(Ⅰ),1.86833837628e+11
9,36(Ⅱ),3.08318270554e+11
10,81(Ⅰ),1.81486509226e+11
11,81(Ⅱ),1.94415303042e+11
12,81(Ⅲ),1.07076123704e+11
13,81(Ⅳ),2.49553022571e+11
14,81(Ⅴ),7.02129101795e+11
15,81(Ⅵ),2.21858365897e+11
16,108(Ⅰ),2.42765265412e+11
17,108(Ⅱ),2.7829805849e+11
18,108(Ⅲ),2.72529882102e+11
19,108(Ⅳ),4.82602382211e+11
20,108(Ⅴ),2.57628274275e+11
21,108(Ⅵ),2.79542898874e+11
22,324(Ⅰ),6.28595858489e+11
23,324(Ⅱ),3.32852997954e+11
24,324(Ⅲ),68162105493.9
25,324(Ⅳ),1.17578216507e+12
26,324(Ⅴ),1.68219334626e+11
27,324(Ⅵ),2.55843404546e+11
28,324(Ⅶ),2.42923842509e+11
29,324(Ⅷ),3.44903169907e+11
30,324(Ⅸ),4.08609505462e+11
31,324(Ⅹ),1.91217460342e+11
32,324(ⅩⅠ),1.28960985039e+11
33,324(ⅩⅡ),6.78616942246e+11
34,324(ⅩⅢ),5.53168545059e+11
35,324(ⅩⅣ),3.88618490625e+11
36,324(ⅩⅤ),3.82814949193e+11
