,name,pop
222,Oldenburg,2465
223,Oldenburg Stadt,1359
224,Osnabrück,-5724
225,Osnabrück Stadt,-10496
226,Osterholz,-566
227,Osterode am Harz,-7965
228,Peine,-2600
229,Region Hannover,-19798
230,Rotenburg (Wümme),-332
231,Salzgitter,-12801
232,Schaumburg,-9052
233,Stade,2477
234,Uelzen,-4039
235,Vechta,4104
236,Verden,-989
237,Wesermarsch,-4299
238,Wilhelmshaven,-7543
239,Wittmund,-582
240,Wolfenbüttel,-6068
241,Wolfsburg,-1903
242,Bielefeld,3497
243,Bochum,-27801
244,Bonn,-251
245,Borken,921
246,Bottrop,-3469
247,Coesfeld,-1536
248,Dortmund,-18097
249,Duisburg,-23562
250,Düren,-12314
251,Düsseldorf,15526
252,Ennepe-Ruhr-Kreis,-23939
253,Essen,-25688
254,Euskirchen,-2641
255,Gelsenkirchen,-17974
256,Gütersloh,2466
257,Hagen,-14116
258,Hamm,-7768
259,Heinsberg,-4114
260,Herford,-4689
261,Herne,-18858
262,Hochsauerlandkreis,-14971
263,Höxter,-9840
264,Kleve,-872
265,Köln,37835
266,Krefeld,-17312
267,Leverkusen,-1845
268,Lippe,-16309
269,Märkischer Kreis,-33260
270,Mettmann,-31245
271,Minden-Lübbecke,-10886
272,Mönchengladbach,-7775
273,Mülheim an der Ruhr,-5467
274,Münster,22379
275,Oberbergischer Kreis,-16507
276,Oberhausen,-11403
277,Olpe,-5214
278,Paderborn,1641
279,Recklinghausen,-36671
280,Remscheid,-8045
281,Rhein-Erft-Kreis,-6916
282,Rheinisch-Bergischer Kreis,1658
283,Rhein-Kreis Neuss,-8290
284,Rhein-Sieg-Kreis,-4799
285,Siegen-Wittgenstein,-18953
286,Soest,-10934
287,Solingen,-9767
288,Städteregion Aachen,-14198
289,Steinfurt,-3886
290,Unna,-34209
291,Viersen,-6620
292,Warendorf,-8809
293,Wesel,-15821
294,Wuppertal,-22123
295,Ahrweiler,-4258
296,Altenkirchen (Westerwald),-7089
297,Alzey-Worms,-191
298,Bad Dürkheim,-3218
299,Bad Kreuznach,-2244
300,Bernkastel-Wittlich,-1600
301,Birkenfeld,-7423
302,Bitburg-Prüm,-533
303,Cochem-Zell,-1561
304,Donnersbergkreis,-2708
305,Frankenthal (Pfalz),-1412
306,Germersheim,-467
307,Kaiserslautern,-4924
308,Kaiserslautern Stadt,-3454
309,Koblenz,95
310,Kusel,-5749
311,Landau in der Pfalz,2272
312,Ludwigshafen am Rhein,-4874
313,Mainz,15051
314,Mainz-Bingen,4600
315,Mayen-Koblenz,-2037
316,Neustadt an der Weinstraße,-1658
317,Neuwied,-4330
318,Pirmasens,-3935
319,Rhein-Hunsrück-Kreis,-3379
320,Rhein-Lahn-Kreis,-6405
321,Rhein-Pfalz-Kreis,-526
322,Speyer,-416
323,Südliche Weinstraße,-1450
324,Südwestpfalz,-6845
325,Trier,5647
326,Trier-Saarburg,3953
327,Vulkaneifel,-2517
328,Westerwaldkreis,-2656
329,Worms,-1418
330,Zweibrücken,-1599
331,Merzig-Wadern,-2586
332,Neunkirchen,-11147
333,Saarlouis,-13804
334,Saarpfalz-Kreis,-11338
335,Stadtverband Saarbrücken,-22883
336,St. Wendel,-5089
337,Bautzen,-43184
338,Chemnitz,-15545
339,Dresden,33723
340,Erzgebirgskreis,-50264
341,Görlitz,-46390
342,Leipzig,-25932
343,Leipzig Stadt,9927
344,Meißen,-25529
345,Mittelsachsen,-42848
346,Nordsachsen,-26482
347,Sächsische Schweiz-Osterzgebirge,-23318
348,Vogtlandkreis,-31490
349,Zwickau,-40061
350,Altmarkkreis Salzwedel,-12187
351,Anhalt-Bitterfeld,-31515
352,Börde,-20518
353,Burgenlandkreis,-29216
354,Dessau-Roßlau,-11597
355,Halle (Saale),-13892
356,Harz,-31733
357,Jerichower Land,-13606
358,Magdeburg,-1611
359,Mansfeld-Südharz,-25744
360,Saalekreis,-24236
361,Salzlandkreis,-35816
362,Stendal,-19349
363,Wittenberg,-22566
364,Dithmarschen,-3547
365,Flensburg,-2222
366,Herzogtum Lauenburg,5476
367,Kiel,3540
368,Lübeck,-3191
369,Neumünster,-2397
370,Nordfriesland,-1361
371,Ostholstein,-4973
372,Pinneberg,2427
373,Plön,-5948
374,Rendsburg-Eckernförde,-2281
375,Schleswig-Flensburg,-2365
376,Segeberg,7907
377,Steinburg,-5763
378,Stormarn,10568
379,Altenburger Land,-15684
380,Eichsfeld,-11170
381,Eisenach,-2489
382,Erfurt,742
383,Gera,-13859
384,Gotha,-11088
385,Greiz,-17127
386,Hildburghausen,-6877
387,Ilm-Kreis,-10679
388,Jena,4582
389,Kyffhäuserkreis,-12930
390,Nordhausen,-10475
391,Saale-Holzland-Kreis,-8602
392,Saale-Orla-Kreis,-11762
393,Saalfeld-Rudolstadt,-17748
394,Schmalkalden-Meiningen,-14866
395,Sömmerda,-8458
396,Sonneberg,-8232
397,Suhl,-9805
398,Unstrut-Hainich-Kreis,-12324
399,Wartburgkreis,-14927
400,Weimar,-758
401,Weimarer Land,-8262
