,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
289,Steinfurt,County,378416,416252,437545,433659,437127,-3886
290,Unna,County,387429,422662,430269,396060,391774,-34209
291,Viersen,County,261697,288450,302795,296175,295067,-6620
292,Warendorf,County,247447,272534,282286,273477,273412,-8809
293,Wesel,County,426094,465454,476240,460419,457244,-15821
294,Wuppertal,City with County Rights,365662,381884,364784,342661,345425,-22123
295,Ahrweiler,County,111232,125377,130141,125883,126643,-4258
296,Altenkirchen (Westerwald),County,120757,134993,137659,130570,128228,-7089
297,Alzey-Worms,County,99619,116712,125303,125112,125998,-191
298,Bad Dürkheim,County,120129,130558,134303,131085,131530,-3218
299,Bad Kreuznach,County,144966,155597,157843,155599,155944,-2244
300,Bernkastel-Wittlich,County,105289,112032,112874,111274,110981,-1600
301,Birkenfeld,County,85484,90338,90201,82778,80591,-7423
302,Bitburg-Prüm,County,89478,95921,96308,95775,96408,-533
303,Cochem-Zell,County,59260,63705,64636,63075,62041,-1561
304,Donnersbergkreis,County,66756,76302,78740,76032,74962,-2708
305,Frankenthal (Pfalz),City with County Rights,44717,48371,47827,46415,47724,-1412
306,Germersheim,County,103294,118836,124380,123913,126266,-467
307,Kaiserslautern,County,95129,108746,110207,105283,104288,-4924
308,Kaiserslautern Stadt,City with County Rights,97326,102002,99794,96340,97382,-3454
309,Koblenz,City with County Rights,108246,109219,107730,107825,111434,95
310,Kusel,County,75028,79402,78530,72781,70883,-5749
311,Landau in der Pfalz,City with County Rights,36057,39842,41089,43361,44465,2272
312,Ludwigshafen am Rhein,City with County Rights,156601,167369,162458,157584,163832,-4874
313,Mainz,City with County Rights,172529,183720,185293,200344,206991,15051
314,Mainz-Bingen,County,163836,187361,196072,200672,204514,4600
315,Mayen-Koblenz,County,188282,204452,212344,210307,210441,-2037
316,Neustadt an der Weinstraße,City with County Rights,50120,53788,53822,52164,52564,-1658
317,Neuwied,County,156332,178479,185004,180674,179317,-4330
318,Pirmasens,City with County Rights,47997,48356,44822,40887,40046,-3935
319,Rhein-Hunsrück-Kreis,County,90824,104646,106815,103436,101945,-3379
320,Rhein-Lahn-Kreis,County,115758,127456,129608,123203,121487,-6405
321,Rhein-Pfalz-Kreis,County,129795,143416,147396,146870,150051,-526
322,Speyer,City with County Rights,44034,49664,49956,49540,49855,-416
323,Südliche Weinstraße,County,97348,106835,109694,108244,109735,-1450
324,Südwestpfalz,County,99243,105187,105271,98426,96410,-6845
325,Trier,City with County Rights,94118,99428,100024,105671,108472,5647
326,Trier-Saarburg,County,126502,135246,139320,143273,145227,3953
327,Vulkaneifel,County,57040,62748,64464,61947,60775,-2517
328,Westerwaldkreis,County,170689,195669,202714,200058,199131,-2656
329,Worms,City with County Rights,73635,80014,80625,79207,81010,-1418
330,Zweibrücken,City with County Rights,33373,36132,35799,34200,34011,-1599
331,Merzig-Wadern,County,99663,105824,106222,103636,102987,-2586
332,Neunkirchen,County,148329,150289,146678,135531,133021,-11147
333,Saarlouis,County,207406,215485,211681,197877,195632,-13804
334,Saarpfalz-Kreis,County,151525,158477,156732,145394,143532,-11338
335,Stadtverband Saarbrücken,County,357461,357948,349948,327065,325604,-22883
336,St. Wendel,County,91276,96347,95209,90120,88259,-5089
337,Bautzen,County,408410,374309,358358,315174,306570,-43184
338,Chemnitz,City with County Rights,335983,288268,255798,240253,243521,-15545
339,Dresden,City with County Rights,542252,495424,478631,512354,536308,33723
340,Erzgebirgskreis,County,476212,434001,412055,361791,349582,-50264
341,Görlitz,County,391047,343077,316037,269647,260188,-46390
342,Leipzig,County,295264,279426,288146,262214,257647,-25932
343,Leipzig Stadt,City with County Rights,600543,519710,493052,502979,544479,9927
344,Meißen,County,307473,278897,272583,247054,243745,-25529
345,Mittelsachsen,County,414545,377125,364925,322077,312711,-42848
346,Nordsachsen,County,244237,231165,227647,201165,197042,-26482
347,Sächsische Schweiz-Osterzgebirge,County,292288,269580,270136,246818,245954,-23318
348,Vogtlandkreis,County,312506,284076,271543,240053,232390,-31490
349,Zwickau,County,432550,391545,375281,335220,325137,-40061
350,Altmarkkreis Salzwedel,County,...,105371,100428,88241,86071,-12187
351,Anhalt-Bitterfeld,County,...,218671,203642,172127,165076,-31515
352,Börde,County,...,191052,196566,176048,172830,-20518
353,Burgenlandkreis,County,...,231315,218945,189729,184055,-29216
354,Dessau-Roßlau,City with County Rights,...,107698,97627,86030,83061,-11597
355,Halle (Saale),City with County Rights,...,282784,243045,229153,232470,-13892
356,Harz,County,...,269874,258228,226495,219618,-31733
357,Jerichower Land,County,...,108344,107455,93849,91359,-13606
358,Magdeburg,City with County Rights,...,258656,229755,228144,232305,-1611
359,Mansfeld-Südharz,County,...,185956,173631,147887,142054,-25744
360,Saalekreis,County,...,209372,215917,191681,186510,-24236
361,Salzlandkreis,County,...,256359,241274,205458,196750,-35816
362,Stendal,County,...,147436,138553,119204,114668,-19349
363,Wittenberg,County,...,166040,155560,132994,128721,-22566
364,Dithmarschen,County,127883,133428,137447,133900,132685,-3547
365,Flensburg,City with County Rights,86554,87276,84480,82258,84694,-2222
366,Herzogtum Lauenburg,County,153473,170058,181661,187137,190703,5476
367,Kiel,City with County Rights,237767,246033,232242,235782,243148,3540
368,Lübeck,City with County Rights,210497,216986,213496,210305,214420,-3191
369,Neumünster,City with County Rights,79771,82028,79646,77249,77588,-2397
370,Nordfriesland,County,150220,159048,165026,163665,162203,-1361
371,Ostholstein,County,183559,197378,203386,198413,198355,-4973
372,Pinneberg,County,259592,282538,293914,296341,304087,2427
373,Plön,County,115892,125391,133624,127676,126865,-5948
374,Rendsburg-Eckernförde,County,242266,258040,271643,269362,268628,-2281
375,Schleswig-Flensburg,County,176501,188129,198390,196025,195593,-2365
376,Segeberg,County,212110,237083,252758,260665,264972,7907
377,Steinburg,County,125620,133184,136548,130785,130218,-5763
378,Stormarn,County,192536,208861,219988,230556,236705,10568
379,Altenburger Land,County,...,120655,112421,96737,92705,-15684
380,Eichsfeld,County,...,117588,113427,102257,100730,-11170
381,Eisenach,City with County Rights,...,45337,44242,41753,41884,-2489
382,Erfurt,City with County Rights,...,211108,200126,200868,206219,742
383,Gera,City with County Rights,...,123555,109926,96067,94492,-13859
384,Gotha,County,...,148373,147418,136330,135381,-11088
385,Greiz,County,...,127536,122459,105332,101382,-17127
386,Hildburghausen,County,...,75168,73246,66369,64673,-6877
387,Ilm-Kreis,County,...,123390,121040,110361,108899,-10679
388,Jena,City with County Rights,...,101061,101157,105739,108207,4582
389,Kyffhäuserkreis,County,...,98144,92983,80053,77148,-12930
390,Nordhausen,County,...,101870,97685,87210,85055,-10475
391,Saale-Holzland-Kreis,County,...,92226,93404,84802,83966,-8602
392,Saale-Orla-Kreis,County,...,102247,97568,85806,82887,-11762
393,Saalfeld-Rudolstadt,County,...,139040,131015,113267,109646,-17748
394,Schmalkalden-Meiningen,County,...,146868,142488,127622,125056,-14866
395,Sömmerda,County,...,82635,80323,71865,70537,-8458
396,Sonneberg,County,...,70721,67175,58943,56809,-8232
397,Suhl,City with County Rights,...,53591,46765,36960,36208,-9805
398,Unstrut-Hainich-Kreis,County,...,122229,118446,106122,103922,-12324
399,Wartburgkreis,County,...,149060,143646,128719,125835,-14927
400,Weimar,City with County Rights,...,62122,63522,62764,63477,-758
401,Weimarer Land,County,...,89261,90905,82643,81641,-8262
