,D,norm
0,1,1.14043556512e+12
1,3,4745334782.9
2,4,48423708262.9
3,9,1.70794995145e+11
4,12,92417864408.0
5,27(Ⅰ),47826512137.0
6,27(Ⅱ),65423672847.1
7,27(Ⅲ),45039021845.0
8,36(Ⅰ),41834016763.1
9,36(Ⅱ),1.08725066212e+11
10,81(Ⅰ),1.17480838711e+11
11,81(Ⅱ),3.96132141395e+11
12,81(Ⅲ),2.90149913078e+11
13,81(Ⅳ),1.79850756619e+11
14,81(Ⅴ),63817688535.8
15,81(Ⅵ),2.10331141628e+11
16,108(Ⅰ),3.34844079744e+11
17,108(Ⅱ),99560337218.2
18,108(Ⅲ),74041631744.1
19,108(Ⅳ),2.63126126601e+11
20,108(Ⅴ),3.11268214041e+11
21,108(Ⅵ),1.13936368177e+11
22,324(Ⅰ),2.68788666375e+11
23,324(Ⅱ),1.45778536684e+11
24,324(Ⅲ),49511827183.3
25,324(Ⅳ),8.66314749319e+11
26,324(Ⅴ),3.86497905594e+11
27,324(Ⅵ),3.19546871261e+11
28,324(Ⅶ),1.05082927907e+11
29,324(Ⅷ),1.19408273611e+11
30,324(Ⅸ),2.15372920214e+11
31,324(Ⅹ),1.70164832699e+11
32,324(ⅩⅠ),1.6510480799e+11
33,324(ⅩⅡ),1.64765062575e+11
34,324(ⅩⅢ),1.05434966137e+11
35,324(ⅩⅣ),2.1882993402e+11
36,324(ⅩⅤ),1.44881227609e+11
