,D,norm
0,1,4.4647828519e+12
1,3,3.72628323544e+11
2,4,1.22512949822e+11
3,9,1.84049982395e+11
4,12,8.69520009796e+11
5,27(Ⅰ),8.57839123858e+11
6,27(Ⅱ),9.45992885759e+11
7,27(Ⅲ),5.43522859904e+11
8,36(Ⅰ),2.39704564503e+12
9,36(Ⅱ),9.51943853016e+11
10,81(Ⅰ),8.04847035163e+11
11,81(Ⅱ),9.58056827951e+11
12,81(Ⅲ),9.95552168118e+11
13,81(Ⅳ),2.77872575597e+12
14,81(Ⅴ),9.21156279312e+11
15,81(Ⅵ),9.17339656491e+11
16,108(Ⅰ),5.22564010471e+11
17,108(Ⅱ),2.63062935786e+11
18,108(Ⅲ),9.82685484857e+11
19,108(Ⅳ),2.15916601265e+12
20,108(Ⅴ),1.72507127865e+12
21,108(Ⅵ),1.88256554265e+12
22,324(Ⅰ),1.61835094169e+12
23,324(Ⅱ),7.25206872349e+11
24,324(Ⅲ),9.61943540914e+11
25,324(Ⅳ),3.30566717428e+12
26,324(Ⅴ),2.39837944858e+12
27,324(Ⅵ),2.49712431302e+12
28,324(Ⅶ),1.4538109472e+12
29,324(Ⅷ),1.39407410849e+12
30,324(Ⅸ),1.63616932277e+12
31,324(Ⅹ),1.04742162691e+12
32,324(ⅩⅠ),1.17744801722e+12
33,324(ⅩⅡ),1.08067562456e+12
34,324(ⅩⅢ),9.69233996994e+11
35,324(ⅩⅣ),1.61324202916e+12
36,324(ⅩⅤ),1.17376285418e+12
