1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
117389.070988,46591.8364198,-27067.9845679,-35019.3796296,-71932.9228395,-54127.7369241,-33246.775033,30189.6508459,12785.632716,14367.8580247,15783.6362965,37278.2490702,-42109.4964778,-60308.2292417,-20799.1685593,87210.3422454,41933.272084,26858.8000038,-9644.91468032,-47946.3188924,60865.0326715,22559.5454802,-63600.8906301,-4768.37670507,11231.7858537,3577.57918937,-35742.7197515,131895.571616,92574.1296927,68892.9141029,-87501.7644377,22808.7595202,23442.4997198,-58840.9323412,-46309.1277025,-23547.6296421,82837.2015156
117389.070988,-13445.4506173,27220.3117284,-20289.1203704,-67140.3024691,48790.5213599,3731.22349891,-69009.1615255,54350.2993827,-43946.808642,45838.2214596,61995.7425561,-24094.4454972,75869.0809865,-65519.6117799,-105783.571058,40278.0317257,-27052.5439614,73792.6696431,-14781.3489288,38935.6011582,-91317.9929701,-70503.5519076,52958.3306561,113977.554585,-104494.793357,12749.8283192,8588.47876351,71176.8067835,-131707.389445,-69208.7449085,7175.993673,1032.58352046,6253.38925804,151689.020979,23133.1281026,-74886.0516894
117389.070988,-33146.3858025,-27067.9845679,-3285.40740739,9266.41049386,68026.0093564,-27631.5384763,-26827.1653245,41743.1234568,-7098.16049386,43066.1754778,58430.5770589,-22126.1969811,71873.4678396,29402.8777895,-48293.484518,35238.8535277,-4122.94887148,-38424.8583599,-4007.97797869,-58497.2084003,67427.5011937,-72782.3293593,-46869.9277347,-35569.2984616,-109626.604491,37454.4609804,-51312.8205369,-18578.2397448,21709.1508969,93023.6683098,13662.5582977,53801.6502435,75344.6155262,-8621.39993659,53525.1836306,62590.5823796
117389.070988,46591.8364198,27220.3117284,-35019.3796296,104962.632716,-11091.6498076,3279.15627671,-30732.9509135,-12428.7191358,-48841.5308642,8764.5694737,32474.9145898,-43840.3451746,-122510.048731,-13002.6784384,88019.5049472,25963.7539153,7509.86051543,12290.0522359,-102670.075084,-49160.3292392,-13208.3734542,-70162.3687934,-69926.6447974,90804.0043315,-23837.1414948,76237.6656239,37368.7708529,-92792.4513173,163137.836125,75422.7779973,-22826.8783684,-55680.2536162,-84341.1010277,99150.1076789,-37215.9179583,-62438.9885698
117389.070988,-13445.4506173,-27067.9845679,-20289.1203704,62666.5123457,-47269.4625231,59734.1211719,-19140.9919821,-53993.3858025,71984.2469136,-41016.4938834,27025.7731111,-4999.34404255,-61507.7026237,42565.8412721,13735.2594997,12104.9239772,27593.4950776,-35940.9746105,-104329.832509,57140.7066258,-13881.2074502,-62959.6761207,37909.1273953,46735.7246513,73274.1843604,83354.8466535,45408.8123107,-55678.4210692,-63969.4129281,-146329.457736,28178.8074897,7559.81654849,8001.86489815,-43336.0879731,18655.3688136,53684.5027056
117389.070988,-33146.3858025,27220.3117284,-3285.40740739,-37822.330247,18304.0696325,-57333.2289665,57947.6315562,-41386.2098766,13534.3950618,-82983.9017939,51088.968605,-56282.4001445,15063.2615278,45193.7605687,12572.0612369,-5453.117325,-45130.3237054,-3725.29045106,-25741.0026577,-56015.0020403,110693.152846,-52043.0023779,23514.8738009,-12121.0566082,104221.40173,32721.451223,-20073.780848,39174.524846,-6070.28558529,73823.6382387,-40940.2727929,-18342.4085851,71040.9626889,-30603.5150518,-79950.2166713,-61403.3973404
117389.070988,46591.8364198,-27067.9845679,-35019.3796296,-71932.9228395,65219.3867317,29967.6187563,543.300067589,12785.632716,14367.8580247,-97500.6376805,64895.1701764,1257.21750418,-27139.5709362,12106.352466,-105421.614863,-24331.9348598,14694.3769621,81035.5486384,-78904.3291661,-59977.4865771,-54756.5916642,-38729.0595313,-79321.8265807,122121.043519,54011.4045009,13929.5478237,7979.53377466,65982.4057663,172336.316772,22045.2452884,10043.3842177,-85874.2900978,-84168.6007482,-93080.1003705,54756.8628461,60286.2161528
117389.070988,-13445.4506173,27220.3117284,-20289.1203704,-67140.3024691,-1521.05883682,-63465.3446708,88150.1535076,54350.2993827,-43946.808642,-77774.1594866,45626.8181692,-55598.8346085,65596.5776904,2397.66158994,44177.6866456,-41068.0250054,18045.8872196,-60249.3714734,-139800.097266,77750.5631879,91192.2933376,-24623.7055812,-29212.7617493,-24693.0048918,-30210.1377501,104762.495371,7819.95053277,39065.1969781,-2913.71045796,-21283.3184872,23104.6454047,15020.7547017,40789.0113118,-23127.5620172,-31354.7607182,-72263.8426468
117389.070988,-33146.3858025,-27067.9845679,-3285.40740739,9266.41049386,-86330.0789889,84964.7674428,-31120.4662317,41743.1234568,-7098.16049386,-33034.7055944,25128.7881725,-6284.02702256,43063.1634882,-32345.0349086,13783.8158648,-52085.7135799,-6264.90611564,-7215.30623038,-15004.6539878,43663.2650256,36402.4259992,-11428.2543867,56221.2430471,65997.0668951,-91760.4748449,207123.813856,-122004.062061,-20037.2476704,-35219.1442565,-115134.758966,29610.5818727,-73886.0437406,15324.2435526,-75641.3265394,86044.6556123,79306.7076296
117389.070988,46591.8364198,27220.3117284,-35019.3796296,104962.632716,-54127.7369241,-33246.775033,30189.6508459,-12428.7191358,-48841.5308642,15783.6362965,37278.2490702,-42109.4964778,-60308.2292417,-20799.1685593,87210.3422454,-54856.9981231,-21509.8146987,4704.34059958,76354.0982229,-7269.57275306,-42405.0810254,-734.272106011,-23558.7402717,73865.8642296,-113283.427965,151707.693845,-129332.459413,-53101.3159262,87289.875396,130690.929076,-79147.0342291,-36945.5732433,-58495.9317823,109222.431955,-46998.1048024,-89938.6014297
117389.070988,-13445.4506173,-27067.9845679,-20289.1203704,62666.5123457,48790.5213599,3731.22349891,-69009.1615255,-53993.3858025,71984.2469136,45838.2214596,61995.7425561,-24094.4454972,75869.0809865,-65519.6117799,-105783.571058,-48767.5376142,9637.62589518,-4634.78272543,-23934.8923603,-15135.9871881,113547.101771,6168.38917144,-81285.4476329,-28879.9045015,-116058.881696,-43469.2963198,74676.3902116,-35925.1684953,-9595.98450507,66526.9113025,10971.702653,15954.4598271,71827.6820854,-19840.8915489,931.544997033,101846.077785
117389.070988,-33146.3858025,27220.3117284,-3285.40740739,-37822.330247,68026.0093564,-27631.5384763,-26827.1653245,-41386.2098766,13534.3950618,43066.1754778,58430.5770589,-22126.1969811,71873.4678396,29402.8777895,-48293.484518,-35321.8051101,31503.3035632,67383.7145098,-37845.8108438,41364.8725422,-89359.0246613,8447.16662314,18542.810758,120666.948545,-118575.3811,-164088.194348,176318.888704,-8651.80852471,-36588.5664456,-131172.634449,48978.345203,-57285.6200675,-36088.8227462,147711.149456,-28206.2406527,-106157.457622
117389.070988,46591.8364198,-27067.9845679,-35019.3796296,-71932.9228395,-11091.6498076,3279.15627671,-30732.9509135,12785.632716,14367.8580247,8764.5694737,32474.9145898,-43840.3451746,-122510.048731,-13002.6784384,88019.5049472,-17601.3372242,-41553.1769659,-71390.633958,126850.648059,-887.546094404,32197.046184,5827.20605724,41599.5278206,-5706.35424824,-105234.909395,-89497.6316841,70886.7679235,48083.9165095,-6955.04662646,-1044.34044828,26434.139523,42177.1800927,-32995.7630959,-17900.3776818,-34432.802906,117357.904825
117389.070988,-13445.4506173,27220.3117284,-20289.1203704,-67140.3024691,-47269.4625231,59734.1211719,-19140.9919821,54350.2993827,-43946.808642,-41016.4938834,27025.7731111,-4999.34404255,-61507.7026237,42565.8412721,13735.2594997,789.993279656,9006.65674181,-13543.2981696,154581.446195,-116686.164346,125.699632463,-1375.48661546,-66236.244372,38361.9254319,-42822.0534608,38673.7488294,-4557.7726449,67381.3581477,-77333.9610221,44692.6860539,-89566.9223387,9427.22679902,70079.2064453,28728.1467926,90681.2367785,-113331.428158
117389.070988,-33146.3858025,-27067.9845679,-3285.40740739,9266.41049386,18304.0696325,-57333.2289665,57947.6315562,41743.1234568,-7098.16049386,-82983.9017939,51088.968605,-56282.4001445,15063.2615278,45193.7605687,12572.0612369,16846.8600521,10387.8549871,45640.1645904,19012.6319664,14833.9433746,-103829.927193,-12292.1603583,-51841.9907776,97218.7066914,71506.020473,22918.6012949,-25594.3340653,9598.3973558,-8809.12996339,42812.572912,16013.1430905,14858.4387611,-31785.1699088,-73026.8792788,-53886.6653778,118584.032485
117389.070988,46591.8364198,27220.3117284,-35019.3796296,104962.632716,65219.3867317,29967.6187563,543.300067589,-12428.7191358,-48841.5308642,-97500.6376805,64895.1701764,1257.21750418,-27139.5709362,12106.352466,-105421.614863,28893.2442077,13999.9541833,-16994.3928355,26315.9768615,56429.9019922,55613.4544796,-25606.1032048,50994.7096039,-37023.3934362,184766.495164,-116634.555856,-118798.184754,-60746.6847251,-16153.527273,-139612.847476,42687.6293366,72371.2165743,-33168.2633753,-51082.9338793,87437.5924627,-108103.732494
117389.070988,-13445.4506173,-27067.9845679,-20289.1203704,62666.5123457,-1521.05883682,-63465.3446708,88150.1535076,-53993.3858025,71984.2469136,-77774.1594866,45626.8181692,-55598.8346085,65596.5776904,2397.66158994,44177.6866456,36662.613637,-37231.1209728,40575.7573358,128264.724869,-42004.7194377,-99665.8943203,-39711.4571549,885.644772515,109790.654975,220311.681903,-196071.622853,-131935.859174,-86019.7723447,-138389.663492,125601.923775,20135.7731182,1966.2886458,37292.0600317,-94112.6262328,-102046.517974,104950.742004
117389.070988,-33146.3858025,27220.3117284,-3285.40740739,-37822.330247,-86330.0789889,84964.7674428,-31120.4662317,-41386.2098766,13534.3950618,-33034.7055944,25128.7881725,-6284.02702256,43063.1634882,-32345.0349086,13783.8158648,40774.9224351,13627.0201422,-63658.4240587,63586.8135015,14650.1294981,-21334.1281848,-52906.9083494,-84548.3600239,19100.5831882,144235.038233,-136130.133006,42666.1088065,-1505.62626188,20339.7287078,36647.5139545,-67324.3556709,70402.0739166,23931.5492274,40181.971351,22473.283459,-92920.4675319
117389.070988,-13445.4506173,4332.50925926,-8911.20370373,-12991.574074,-89086.2675851,55775.6486319,-2634.88104687,95351.9259259,-67925.3888889,-1110.47564809,-56040.081374,-43255.9800149,64450.2884298,83573.5868907,-40625.2549502,26461.3174555,-39724.5272778,110226.191304,-41653.3197906,-109636.042227,92676.6583141,-56975.7612653,3674.97548459,-54309.5105156,11540.5349523,-48237.2975314,138808.238036,-41052.493394,96818.8095431,-25107.5878546,-3906.09650093,-60334.6793757,10091.3605733,16666.7235827,-40342.9868012,35946.0210664
117389.070988,-33146.3858025,-4484.83641976,25375.4814814,39840.1882717,-1356.83596625,-72995.7387535,23293.7413865,161225.660494,-28479.1790122,25449.2303846,-50217.9446883,105403.853193,-134366.816702,67980.0251041,-231.930624341,37314.8222795,33918.7685321,-88450.3871079,17665.3815532,-35326.735153,-72336.0167706,-69560.0184849,82103.2530488,15160.8302508,-65010.3250073,-62390.3707708,113548.986492,-12511.3760476,-143.653267732,117292.830684,-10653.0242671,-80737.3667761,45282.0385623,-53530.0097519,70518.8472422,-49444.0585737
117389.070988,46591.8364198,4332.50925926,-2321.6851852,24275.8425926,76913.9368323,28486.5587318,49165.1988803,143746.703704,82444.9444444,32013.2631952,-45732.5241393,-68490.6835004,-142508.741343,-67675.0371632,124264.056284,45646.1114898,1330.38748734,-14099.4341623,187980.384256,166925.444239,87395.8566903,-79469.2484033,-7966.69856757,-18975.4604366,-73366.0229385,-82690.2904863,-23499.6898414,61454.7783599,-15968.5603138,-85834.6072733,8161.9650229,58159.4810487,-67312.8466608,-37789.4919793,-79626.2604131,44947.9528824
117389.070988,-13445.4506173,-4484.83641976,-8911.20370373,17465.3641975,36056.9370008,-48317.2016323,31424.7646315,60394.0123457,19308.7098766,15510.2388807,-49996.8906162,109664.309143,-127792.520114,58718.6590545,-67391.213015,49263.8690457,-12399.6743346,49872.9719556,89447.6020537,46306.5657086,-110124.501096,-85508.2516477,-55114.0102103,-36145.9696235,-13438.4569919,-14120.2541563,-10610.0949301,48773.2169271,109776.199259,-37869.1858611,33045.9578767,-4883.28858805,7949.40414341,-79860.7296667,-14023.2435063,-33430.876358
117389.070988,-33146.3858025,4332.50925926,25375.4814814,-11284.2685186,-40451.7992997,91706.7223346,26866.4936318,-5479.72222221,-33690.462963,-16337.8940716,-55963.3101005,-51263.0180501,-11751.3561548,12652.880508,-33294.3854643,46174.6852814,-11720.7674902,-43823.2418652,-106334.563958,-28376.9332702,20805.8490799,-86948.6353006,51330.0309034,24297.0673602,56559.2280536,90212.4468052,56027.4431195,-54971.4698839,25514.2734789,-39133.7859474,-39726.0402256,-43868.6490632,79175.1070657,-14934.5259986,28473.7489642,40383.1773353
117389.070988,46591.8364198,-4484.83641976,-2321.6851852,-57305.5524691,-21416.1303301,-46053.4617098,-22064.796849,11999.2345679,28341.3765432,-48629.0403006,-53771.0593648,73026.4329988,142131.475411,-83597.6627499,-38036.7293282,35552.0547361,22109.9607053,83867.6512253,-24248.6121915,8683.89087445,-96068.6675718,-83616.6678358,61509.7150204,-51136.5286661,74896.0169148,91041.8642265,-18156.2050439,-26212.3326502,-65754.5009668,108734.250921,-23160.4011397,152723.735004,-99720.7247778,10938.3189859,-17674.3351085,-9239.95488322
117389.070988,-13445.4506173,4332.50925926,-8911.20370373,-12991.574074,53029.3305843,-7458.44699964,-28789.8835847,95351.9259259,-67925.3888889,-66253.8136098,-47043.2791901,366.000207377,40563.33056,-25935.7523914,81913.0977574,18397.1402218,8139.61918991,-80026.8334858,110128.004398,34043.142105,-35587.627985,-75914.233704,-48469.6932856,3991.40847106,30958.2014528,-3878.58046748,-89925.2432958,-4088.04711929,48808.494848,-5758.47840758,38205.9085629,8902.1945107,32457.6902709,47459.1359498,66404.7219114,24387.6036355
117389.070988,-33146.3858025,-4484.83641976,25375.4814814,39840.1882717,41808.635266,-18710.9835811,-50160.2350183,161225.660494,-28479.1790122,-60965.3866902,-46898.9963916,12633.4941929,6604.31099857,72120.7706236,34045.9739334,-2450.9281429,-38277.4219958,-26246.5850465,-20721.0162798,-73784.0708058,-67914.3943959,-64770.3601373,-20453.9297362,-5035.89531171,-31189.279697,-28135.9143458,-41279.0657714,22528.4850108,25535.5822156,-35525.7979064,38774.0183344,1430.38878166,53618.0475212,68803.2175656,-15749.168031,11809.5048406
