,D,norm
0,1,1819136.88889
1,3,346116.862978
2,4,62446.311305
3,9,300418.462124
4,12,511251.195645
5,27(Ⅰ),652076.793444
6,27(Ⅱ),463068.290534
7,27(Ⅲ),298147.6671
8,36(Ⅰ),390261.32391
9,36(Ⅱ),512597.524285
10,81(Ⅰ),378363.039404
11,81(Ⅱ),388713.437053
12,81(Ⅲ),314760.671693
13,81(Ⅳ),474627.717306
14,81(Ⅴ),721198.720452
15,81(Ⅵ),414974.800973
16,108(Ⅰ),452341.439903
17,108(Ⅱ),504005.67617
18,108(Ⅲ),455590.761146
19,108(Ⅳ),640211.381731
20,108(Ⅴ),454494.654696
21,108(Ⅵ),447519.000377
22,324(Ⅰ),796385.281532
23,324(Ⅱ),516144.009641
24,324(Ⅲ),262472.291137
25,324(Ⅳ),982653.294263
26,324(Ⅴ),394592.849315
27,324(Ⅵ),445765.577696
28,324(Ⅶ),468474.433807
29,324(Ⅷ),552500.79921
30,324(Ⅸ),587268.270859
31,324(Ⅹ),386594.357495
32,324(ⅩⅠ),359215.106714
33,324(ⅩⅡ),761006.259947
34,324(ⅩⅢ),685240.396694
35,324(ⅩⅣ),572633.055745
36,324(ⅩⅤ),569827.40011
