,D,norm
0,1,1.09347756827e+12
1,3,46803998493.2
2,4,50506981588.4
3,9,38274950182.3
4,12,84110816363.3
5,27(Ⅰ),1.38145968503e+11
6,27(Ⅱ),1.83498728228e+11
7,27(Ⅲ),61549615265.7
8,36(Ⅰ),2.71717330387e+11
9,36(Ⅱ),1.4237037547e+11
10,81(Ⅰ),3.38095420869e+11
11,81(Ⅱ),1.06288081601e+11
12,81(Ⅲ),60055014277.3
13,81(Ⅳ),1.72639915623e+11
14,81(Ⅴ),1.03535246171e+11
15,81(Ⅵ),2.42824034492e+11
16,108(Ⅰ),2.86876859713e+11
17,108(Ⅱ),1.05341724266e+11
18,108(Ⅲ),24807578887.1
19,108(Ⅳ),2.60233927971e+11
20,108(Ⅴ),1.69175550148e+11
21,108(Ⅵ),1.80122077154e+11
22,324(Ⅰ),4.54249965331e+11
23,324(Ⅱ),69508985373.2
24,324(Ⅲ),39973635190.0
25,324(Ⅳ),6.25390761623e+11
26,324(Ⅴ),3.82828984569e+11
27,324(Ⅵ),3.39625621616e+11
28,324(Ⅶ),1.70452263496e+11
29,324(Ⅷ),1.70020026001e+11
30,324(Ⅸ),1.6957955723e+11
31,324(Ⅹ),1.51937282825e+11
32,324(ⅩⅠ),2.59513068223e+11
33,324(ⅩⅡ),1.31337243247e+11
34,324(ⅩⅢ),85427637431.1
35,324(ⅩⅣ),1.62079354179e+11
36,324(ⅩⅤ),90060326630.4
