,D,norm
0,1,1.03599532518e+12
1,3,7633358943.84
2,4,16820275131.0
3,9,1.00266885039e+11
4,12,1.14227987536e+11
5,27(Ⅰ),1.29905105569e+11
6,27(Ⅱ),50103115472.2
7,27(Ⅲ),1.0923830679e+11
8,36(Ⅰ),71042087491.1
9,36(Ⅱ),1.93231915549e+11
10,81(Ⅰ),65842722311.7
11,81(Ⅱ),54951103833.1
12,81(Ⅲ),73522654676.3
13,81(Ⅳ),3.10233169075e+11
14,81(Ⅴ),1.09961954247e+11
15,81(Ⅵ),80348753663.7
16,108(Ⅰ),1.16504364749e+11
17,108(Ⅱ),1.08613439855e+11
18,108(Ⅲ),86835478453.8
19,108(Ⅳ),3.86089792666e+11
20,108(Ⅴ),1.83860977621e+11
21,108(Ⅵ),1.7350684813e+11
22,324(Ⅰ),3.76697759112e+11
23,324(Ⅱ),75977486174.5
24,324(Ⅲ),82139082603.6
25,324(Ⅳ),2.76369544757e+11
26,324(Ⅴ),1.53268968892e+11
27,324(Ⅵ),1.78173889612e+11
28,324(Ⅶ),1.53131347581e+11
29,324(Ⅷ),1.48017732742e+11
30,324(Ⅸ),1.39453050212e+11
31,324(Ⅹ),1.97499457675e+11
32,324(ⅩⅠ),46686827652.2
33,324(ⅩⅡ),1.11379458868e+11
34,324(ⅩⅢ),1.12213589672e+11
35,324(ⅩⅣ),89069144354.7
36,324(ⅩⅤ),1.78916671363e+11
