,D,norm
0,1,2.50493999342e+12
1,3,43637412949.3
2,4,4.17371900812e+11
3,9,1.08209361706e+12
4,12,8.82528876851e+11
5,27(Ⅰ),7.11351460304e+11
6,27(Ⅱ),2.80879080182e+11
7,27(Ⅲ),1.79655976426e+11
8,36(Ⅰ),1.64155374482e+12
9,36(Ⅱ),1.67199867784e+12
10,81(Ⅰ),1.29447706203e+12
11,81(Ⅱ),1.22223042592e+12
12,81(Ⅲ),3.88835309977e+11
13,81(Ⅳ),1.70457473398e+12
14,81(Ⅴ),1.37110251143e+12
15,81(Ⅵ),7.47678756337e+11
16,108(Ⅰ),6.70513957043e+11
17,108(Ⅱ),5.79640756058e+11
18,108(Ⅲ),2.61573489122e+11
19,108(Ⅳ),1.52954414094e+12
20,108(Ⅴ),7.06984218198e+11
21,108(Ⅵ),7.78375888717e+11
22,324(Ⅰ),1.54783065831e+12
23,324(Ⅱ),3.25293764803e+11
24,324(Ⅲ),1.04120954578e+12
25,324(Ⅳ),2.73264675315e+12
26,324(Ⅴ),2.05398605327e+12
27,324(Ⅵ),2.08983502881e+12
28,324(Ⅶ),7.20108057519e+11
29,324(Ⅷ),8.18320181033e+11
30,324(Ⅸ),1.33243016175e+12
31,324(Ⅹ),6.97138463415e+11
32,324(ⅩⅠ),1.22989566275e+12
33,324(ⅩⅡ),8.8903007306e+11
34,324(ⅩⅢ),1.26011932883e+12
35,324(ⅩⅣ),8.02061595009e+11
36,324(ⅩⅤ),1.17274294752e+12
