381,"Taylor, Florida",22582,30.0926733,-83.6377926
382,"Union, Florida",15190,30.044304,-82.3954479
383,"Volusia, Florida",507531,29.0533409,-81.1310761
384,"Wakulla, Florida",31432,30.1480038,-84.3543512
385,"Walton, Florida",61530,30.6204939,-86.1912678
386,"Washington, Florida",24451,30.6009343,-85.6762025
387,"Appling, Georgia",18540,31.7771435,-82.2996274
388,"Atkinson, Georgia",8223,31.3030105,-82.8839362
389,"Bacon, Georgia",11281,31.5555512,-82.4442559
390,"Baker, Georgia",3255,31.3439196,-84.4555346
391,"Baldwin, Georgia",45909,33.0508354,-83.2398518
392,"Banks, Georgia",18295,34.3378598,-83.4970026
393,"Barrow, Georgia",73240,33.9848611,-83.6996482
394,"Bartow, Georgia",101736,34.2394683,-84.8406984
395,"Ben Hill, Georgia",17464,31.7462726,-83.2355879
396,"Berrien, Georgia",18700,31.2561376,-83.2443709
397,"Bibb, Georgia",153905,32.8095879,-83.694562
398,"Bleckley, Georgia",12795,32.4305311,-83.3311795
399,"Brantley, Georgia",18417,31.1455055,-81.7905656
400,"Brooks, Georgia",15418,32.9098628,-83.3815541
401,"Bryan, Georgia",33906,32.0034889,-81.4241017
402,"Bulloch, Georgia",72087,32.4025745,-81.7290138966
403,"Burke, Georgia",22709,33.0482247,-81.9575983
404,"Butts, Georgia",23368,33.2825083,-83.9548161
405,"Calhoun, Georgia",6463,31.5311784,-84.614328
406,"Camden, Georgia",52027,30.9298212,-81.6225075
407,"Candler, Georgia",10888,32.4146577,-82.0930776
408,"Carroll, Georgia",114093,33.5588005,-85.0641272
409,"Catoosa, Georgia",65621,34.8911137,-85.131315
410,"Charlton, Georgia",12897,30.8775388,-82.1185847
411,"Chatham, Georgia",283379,31.9668887,-81.0626008
412,"Chattahoochee, Georgia",11837,33.8084389,-84.4818749
413,"Chattooga, Georgia",24939,34.4620931,-85.3660518
414,"Cherokee, Georgia",230985,34.2391265,-84.4720272
415,"Clarke, Georgia",120938,33.9458693,-83.3557816
416,"Clay, Georgia",3102,31.5738181,-84.9800814
417,"Clayton, Georgia",267542,33.5204959,-84.3591713
418,"Clinch, Georgia",6831,30.8938781,-82.6923467
419,"Cobb, Georgia",730981,33.9373948,-84.5732006
420,"Coffee, Georgia",42811,31.5301809,-82.8405691
421,"Colquitt, Georgia",46102,31.1803601,-83.7696152
422,"Columbia, Georgia",139257,33.5313102,-82.2563979
423,"Cook, Georgia",17214,31.1455115,-83.4331569
424,"Coweta, Georgia",135571,33.3500656,-84.7545734
425,"Crawford, Georgia",12387,32.7212675,-83.9825337
426,"Crisp, Georgia",22934,31.9152265,-83.77777
427,"Dade, Georgia",16389,34.8722084,-85.4998791
428,"Dawson, Georgia",22957,34.4077136,-84.1356771
429,"Decatur, Georgia",27220,33.7737582,-84.296069
430,"DeKalb, Georgia",722161,33.7926976,-84.2201216444
431,"Dodge, Georgia",20976,32.1506514,-83.1520134
432,"Dooly, Georgia",14188,32.1542383,-83.8253817
433,"Dougherty, Georgia",92407,31.5426984,-84.1961112
434,"Douglas, Georgia",138776,33.6952248,-84.7654424
435,"Early, Georgia",10491,31.3466656,-84.9350894
436,"Echols, Georgia",4003,30.6968025,-82.9078762
437,"Effingham, Georgia",55423,32.3419626,-81.338687
438,"Elbert, Georgia",19438,34.1194318,-82.8408412
439,"Emanuel, Georgia",22755,32.5667325,-82.3083679903
440,"Evans, Georgia",10898,32.1613648,-81.8980725
441,"Fannin, Georgia",23753,34.8867955,-84.2715585
442,"Fayette, Georgia",109664,33.3899269,-84.4953763
443,"Floyd, Georgia",96063,34.2421984,-85.2229248
444,"Forsyth, Georgia",204302,34.235309,-84.1335644
445,"Franklin, Georgia",22264,34.3678642,-83.2156575
446,"Fulton, Georgia",996319,34.0580391,-84.2961283
447,"Gilmer, Georgia",28829,34.6859788,-84.452696
448,"Glascock, Georgia",3053,33.2168832,-82.6112005
449,"Glynn, Georgia",82175,31.2171726,-81.5012681
450,"Gordon, Georgia",56047,34.5019651,-84.8986308
451,"Grady, Georgia",25359,30.867067,-84.2322943
452,"Greene, Georgia",16490,33.5492988,-83.1660939
453,"Gwinnett, Georgia",877922,33.95782705,-84.0468975313
454,"Habersham, Georgia",43752,34.6270741,-83.5016755
455,"Hall, Georgia",190761,34.2905901,-83.8194028
456,"Hancock, Georgia",8509,33.2660163,-82.9989194
457,"Haralson, Georgia",28641,33.7812701,-85.2001291
458,"Harris, Georgia",32876,32.7251788,-84.9104641
459,"Hart, Georgia",25377,34.3410525,-82.9503277
460,"Heard, Georgia",11603,33.2786225,-85.113782
461,"Henry, Georgia",213869,33.4519942,-84.1367771
462,"Houston, Georgia",149111,33.1595654,-85.1377196
463,"Irwin, Georgia",9104,31.5730108,-83.2624513
464,"Jackson, Georgia",61870,34.1282559,-83.5753386
465,"Jasper, Georgia",13432,33.3254635,-83.6868559
466,"Jeff Davis, Georgia",14859,31.774687,-82.6800732
467,"Jefferson, Georgia",16272,33.0380388,-82.436141
468,"Jenkins, Georgia",9125,32.7793141,-81.9613566
469,"Johnson, Georgia",9701,32.6938608,-82.6374871
470,"Jones, Georgia",28787,33.0076333,-83.5398206
471,"Lamar, Georgia",18207,33.0649401,-84.1445952
472,"Lanier, Georgia",10373,31.029016,-83.0768357
473,"Laurens, Georgia",47851,32.4239975,-82.9388938
474,"Lee, Georgia",29191,31.7620158,-84.1346212
475,"Liberty, Georgia",65198,31.8031632,-81.483441
476,"Lincoln, Georgia",7622,33.7876673,-82.4508165
477,"Long, Georgia",17113,31.7704898,-81.753725
478,"Lowndes, Georgia",113523,30.8195619,-83.2628255
479,"Lumpkin, Georgia",31176,34.5546076,-83.9926806
480,"Macon, Georgia",13792,32.8406946,-83.6324022
481,"Madison, Georgia",28312,34.1307533,-83.1817407
482,"Marion, Georgia",8797,32.3473263,-84.5282597
483,"McDuffie, Georgia",21370,33.4631845,-82.4830204
484,"McIntosh, Georgia",14214,31.4979689,-81.3921575
485,"Meriwether, Georgia",21198,33.0373582,-84.6717803
486,"Miller, Georgia",5958,31.1591063,-84.737836
487,"Mitchell, Georgia",22771,31.2148381,-84.1706056
488,"Monroe, Georgia",27051,33.0142344,-83.9044159
489,"Montgomery, Georgia",8991,32.0839135,-82.539273
490,"Morgan, Georgia",17956,33.5793193,-83.5051522
491,"Murray, Georgia",39410,34.7851861,-84.7352262
492,"Muscogee, Georgia",200887,32.4840651,-84.8502167
493,"Newton, Georgia",103675,31.3129575,-84.3357424
494,"Oconee, Georgia",35093,33.829579,-83.4275918
495,"Oglethorpe, Georgia",14673,33.8702684,-83.1049381
496,"Paulding, Georgia",148987,33.8908526,-84.8569161
497,"Peach, Georgia",26922,32.5543462,-83.8350733
498,"Pickens, Georgia",29997,34.4630619,-84.4682402
499,"Pierce, Georgia",18991,31.3430068,-82.2352189
500,"Pike, Georgia",17784,33.081484,-84.3969481
501,"Polk, Georgia",41133,33.9981581,-85.1567475
502,"Pulaski, Georgia",11483,32.2330518,-83.4674404
503,"Putnam, Georgia",21192,33.3231504,-83.3414172
504,"Quitman, Georgia",2315,31.8769847,-85.0154412
505,"Rabun, Georgia",16243,34.8796123,-83.4251357
506,"Randolph, Georgia",7313,31.7620266,-84.7468429
507,"Richmond, Georgia",201368,33.3615148,-82.0778167
508,"Rockdale, Georgia",87754,33.6430283,-84.0322064
509,"Schley, Georgia",5163,32.2478949,-84.3175516
510,"Screven, Georgia",14085,32.7623379,-81.6272037
511,"Seminole, Georgia",8686,30.951849,-84.8789094
512,"Spalding, Georgia",63988,33.2591296,-84.2770865
513,"Stephens, Georgia",25480,34.55119,-83.2976462
