2590,"Ector, Texas",153904,31.8941755,-102.5794339
2591,"Edwards, Texas",1879,29.9116617,-100.3457636
2592,"Ellis, Texas",159317,32.3347829,-96.7920233
2593,"El Paso, Texas",833487,31.8111305,-106.501349296
2594,"Erath, Texas",40147,32.1954856,-98.2213499
2595,"Falls, Texas",16989,31.2320941,-96.9262126
2596,"Fannin, Texas",33752,33.5372542,-96.0902822
2597,"Fayette, Texas",24833,29.8381635,-96.9559692
2598,"Fisher, Texas",3831,32.7090882,-100.3811922
2599,"Floyd, Texas",5949,34.0266015,-101.2765537
2600,"Foard, Texas",1275,33.9502317,-99.7310158
2601,"Fort Bend, Texas",685345,29.511218,-95.7807348
2602,"Franklin, Texas",10600,31.0260194,-96.4852445
2603,"Freestone, Texas",19762,31.6924428,-96.1629601
2604,"Frio, Texas",18531,28.8352831,-99.1226618
2605,"Gaines, Texas",19425,32.7044935,-102.6220553
2606,"Galveston, Texas",314198,29.299328,-94.7945882
2607,"Garza, Texas",6435,33.1414018,-101.287742
2608,"Gillespie, Texas",25520,30.2954086,-98.9086643
2609,"Glasscock, Texas",1291,31.8640224,-101.4811312
2610,"Goliad, Texas",7549,28.6683252,-97.3883265
2611,"Gonzales, Texas",20462,29.5016257,-97.4524926
2612,"Gray, Texas",23044,35.3711816,-100.7892236
2613,"Grayson, Texas",123534,33.5636114,-96.6702111
2614,"Gregg, Texas",123204,32.4492408,-94.8532848
2615,"Grimes, Texas",27172,30.5169334,-95.9943034
2616,"Guadalupe, Texas",147250,29.6480061,-97.8279576
2617,"Hale, Texas",34720,34.0321298,-101.8088827
2618,"Hall, Texas",3147,34.5036637,-100.6536777
2619,"Hamilton, Texas",8199,31.705208,-98.10047031
2620,"Hansford, Texas",5509,36.2563401,-101.3621472
2621,"Hardeman, Texas",3928,34.2510707,-99.7322571
2622,"Hardin, Texas",55621,30.3049642,-94.403904
2623,"Harris, Texas",4441370,29.8119769,-95.3741246
2624,"Harrison, Texas",67336,32.5233959,-94.3982158
2625,"Hartley, Texas",6089,35.8418438,-102.6145811
2626,"Haskell, Texas",5769,33.1576032,-99.7337014
2627,"Hays, Texas",185025,30.0447901,-98.0393127
2628,"Hemphill, Texas",4180,31.3407403,-93.846852
2629,"Henderson, Texas",79290,32.1532157,-94.7993802
2630,"Hidalgo, Texas",831073,26.107453,-98.244500208
2631,"Hill, Texas",34848,31.9595085,-97.0881654
2632,"Hockley, Texas",23577,30.0268875,-95.8443958
2633,"Hood, Texas",53921,32.4107555,-97.828282
2634,"Hopkins, Texas",35921,33.1368252,-95.5656578
2635,"Houston, Texas",22741,29.7589382,-95.3676974
2636,"Howard, Texas",36651,32.3047833,-101.4271085
2637,"Hudspeth, Texas",3211,31.5388627,-105.4752945
