,D,norm
0,1,2.52260265175e+12
1,3,36057639413.3
2,4,32959797542.9
3,9,45378371891.9
4,12,2.56675142336e+11
5,27(Ⅰ),3.71589224231e+11
6,27(Ⅱ),1.46021852679e+11
7,27(Ⅲ),1.52303387722e+11
8,36(Ⅰ),4.77051400866e+11
9,36(Ⅱ),2.82750582826e+11
10,81(Ⅰ),7.12556147351e+11
11,81(Ⅱ),79668926793.2
12,81(Ⅲ),1.73318458637e+11
13,81(Ⅳ),4.86071678107e+11
14,81(Ⅴ),2.08300324631e+11
15,81(Ⅵ),1.67367322398e+11
16,108(Ⅰ),1.82959692706e+11
17,108(Ⅱ),1.01771097343e+11
18,108(Ⅲ),1.25714376708e+11
19,108(Ⅳ),4.64794974776e+11
20,108(Ⅴ),1.98051714215e+11
21,108(Ⅵ),3.58932406542e+11
22,324(Ⅰ),5.64888031379e+11
23,324(Ⅱ),3.12040677289e+11
24,324(Ⅲ),97464819273.6
25,324(Ⅳ),1.17949405111e+12
26,324(Ⅴ),5.5138510567e+11
27,324(Ⅵ),4.93997360734e+11
28,324(Ⅶ),3.10803021779e+11
29,324(Ⅷ),4.79283262942e+11
30,324(Ⅸ),5.61724995421e+11
31,324(Ⅹ),1.49300854793e+11
32,324(ⅩⅠ),4.2685059521e+11
33,324(ⅩⅡ),1.44822706342e+11
34,324(ⅩⅢ),2.61353061145e+11
35,324(ⅩⅣ),3.10711841293e+11
36,324(ⅩⅤ),2.08536042763e+11
