,naiseki
0,600267.888889
1,109448.894587
2,-30870.1027317
3,34618.0
4,-75640.4444444
5,-61522.3333333
6,-52075.0360353
7,-12814.5055894
8,-182708.064112
9,-173381.007719
10,-26260.9244768
11,-112177.240509
12,-19070.1984841
13,2601.76635525
14,88032.4372351
15,-167813.589699
16,-112856.992137
17,-33613.2590781
18,-66044.9448269
19,-129321.666572
20,-107742.46138
21,137429.796987
22,94496.8407069
23,74333.4037837
24,-19248.5489704
25,161468.429371
26,-86367.2545783
27,-77922.373756
28,3170.72483976
29,-51753.4140359
30,-80000.8480331
31,-50597.5348751
32,6850.86973754
33,-65903.4943081
34,16705.5420967
35,-1935.65495143
36,-20621.590762
37,87322.676337
38,115148.410945
39,-133994.029151
40,21301.8274855
41,-57954.3829832
42,162707.941643
43,-183316.818529
44,-53362.9917535
45,-109651.680501
46,-15601.3683178
47,8156.25651246
48,128092.471979
49,196165.072644
50,-129714.260666
51,-11746.255896
52,29300.383692
53,134259.254457
54,1041.15247571
55,-68583.6909836
56,-31738.567682
57,10738.1249516
58,99672.8643829
59,-29678.7097605
60,29680.7922061
61,-82943.5979536
62,13880.5167597
63,68360.943185
64,85990.6091244
65,-42683.8391997
66,26925.1713567
67,95564.2112238
68,-13411.0358997
69,63511.5956992
70,-181531.730734
71,-26292.9989214
72,-61083.8846457
73,-41509.3416085
74,-121077.860374
75,12692.217145
76,69608.1026485
77,1413.96398994
78,18074.9705952
79,-77169.0014576
80,-111503.99775
81,32.945705583
82,29310.3514676
83,-52192.7136349
84,-131849.55715
85,52134.4090212
86,-37008.7240678
87,-16793.8369198
88,79805.8879349
89,-31599.2637074
90,-134290.303602
91,-13820.5269952
92,90719.1684603
93,18111.0194228
94,197174.293971
95,125284.014021
96,-40572.0862168
97,114718.064546
98,82734.3726375
99,-99865.5772421
100,-14119.7299736
101,-183513.703278
102,882.499266053
103,-66291.4430778
104,6668.52359072
105,119363.034241
106,115374.76985
107,108551.026009
108,-39266.3835974
109,-15322.5229385
110,-119658.538335
111,-5798.20424255
112,-104502.71777
113,30824.9711944
114,-3592.56490616
115,132613.474374
116,130754.709661
117,181594.196549
118,-65126.3206046
119,-9347.01507297
120,-34138.4981555
121,-101613.322827
