,D,norm
0,1,3.60321538431e+11
1,3,12932023768.9
2,4,10704880258.5
3,9,79592600903.2
4,12,50148104411.6
5,27(Ⅰ),66036523087.9
6,27(Ⅱ),42662228676.4
7,27(Ⅲ),13633273096.5
8,36(Ⅰ),43076534560.7
9,36(Ⅱ),1.65996198311e+11
10,81(Ⅰ),16642956380.7
11,81(Ⅱ),21842772152.5
12,81(Ⅲ),47716153047.0
13,81(Ⅳ),47420572308.8
14,81(Ⅴ),1.10478129687e+11
15,81(Ⅵ),1.09283084658e+11
16,108(Ⅰ),27999410429.5
17,108(Ⅱ),72001290753.1
18,108(Ⅲ),44450339063.4
19,108(Ⅳ),68711675440.6
20,108(Ⅴ),50504623462.8
21,108(Ⅵ),43988089135.0
22,324(Ⅰ),88011118566.2
23,324(Ⅱ),43959193675.9
24,324(Ⅲ),30302847543.7
25,324(Ⅳ),1.74489410026e+11
26,324(Ⅴ),99415466009.2
27,324(Ⅵ),76315826101.9
28,324(Ⅶ),1.10104264031e+11
29,324(Ⅷ),97573283968.1
30,324(Ⅸ),97786814043.5
31,324(Ⅹ),79951691376.3
32,324(ⅩⅠ),62996497697.1
33,324(ⅩⅡ),85749746459.3
34,324(ⅩⅢ),1.22465131898e+11
35,324(ⅩⅣ),1.20474823711e+11
36,324(ⅩⅤ),1.39263545547e+11
