,D,norm
0,1,4.2737281415e+12
1,3,18139021331.7
2,4,28985322861.1
3,9,2.12653121605e+11
4,12,3.62971028399e+11
5,27(Ⅰ),8.77433676459e+11
6,27(Ⅱ),67051054980.0
7,27(Ⅲ),43442211221.2
8,36(Ⅰ),2.80543781183e+11
9,36(Ⅱ),2.9299991132e+11
10,81(Ⅰ),2.65484528785e+11
11,81(Ⅱ),2.97815378831e+11
12,81(Ⅲ),1.82510380534e+11
13,81(Ⅳ),4.39979739891e+11
14,81(Ⅴ),3.05385047996e+11
15,81(Ⅵ),4.56949982414e+11
16,108(Ⅰ),3.62069468793e+11
17,108(Ⅱ),52421299282.4
18,108(Ⅲ),1.21969840319e+11
19,108(Ⅳ),7.74650849004e+11
20,108(Ⅴ),2.0204542964e+11
21,108(Ⅵ),3.90567442319e+11
22,324(Ⅰ),1.21740364667e+12
23,324(Ⅱ),4.35452307326e+11
24,324(Ⅲ),1.47722383191e+11
25,324(Ⅳ),1.28472908069e+12
26,324(Ⅴ),7.12258903684e+11
27,324(Ⅵ),4.66184852471e+11
28,324(Ⅶ),5.90670324632e+11
29,324(Ⅷ),3.77904449997e+11
30,324(Ⅸ),1.44604475137e+11
31,324(Ⅹ),2.02417378157e+11
32,324(ⅩⅠ),2.6300464002e+11
33,324(ⅩⅡ),2.28801418278e+11
34,324(ⅩⅢ),2.9455284299e+11
35,324(ⅩⅣ),2.74003150647e+11
36,324(ⅩⅤ),3.95463792848e+11
