,name,pop,
142,"Абатский район, Тюменская область",19837,atomawashi
143,"Армизонский район, Тюменская область",10064,atomawashi
144,"Аромашевский район, Тюменская область",12202,atomawashi
145,"Белоярский район, Тюменская область",30049,atomawashi
146,"Бердюжский район, Тюменская область",11490,atomawashi
147,"Берёзовский район, Тюменская область",25744,atomawashi
148,"Ханты-Манси́йск, Тюменская область",80151,atomawashi
149,"Ханты-Мансийский район, Тюменская область",19362,atomawashi
150,"Голышмановский район, Тюменская область",26747,atomawashi
151,"Губкинский, Тюменская область",23335,atomawashi
152,"Исетский район, Тюменская область",26061,atomawashi
153,"Ишим, Тюменская область",65243,atomawashi
154,"Ишимский район, Тюменская область",31085,atomawashi
155,"Ялуторовск, Тюменская область",36493,atomawashi
156,"Ялуторовский район, Тюменская область",14461,atomawashi
157,"Ямальский район, Тюменская область",16310,atomawashi
158,"Ярковский район, Тюменская область",23184,atomawashi
159,"Югорск, Тюменская область",34067,atomawashi
160,"Юргинский район, Тюменская область",12313,atomawashi
161,"Казанский район, Тюменская область",22490,atomawashi
162,"Когалым, Тюменская область",58337,atomawashi
163,"Кондинский район, Тюменская область",34494,atomawashi
164,"Красноселькупский район, Тюменская область",6204,atomawashi
165,"Лабытнанги, Тюменская область",26936,atomawashi
166,"Лангепас, Тюменская область",41670,atomawashi
167,"Мегион, Тюменская область",56382,atomawashi
168,"Муравленко, Тюменская область",33391,atomawashi
169,"Надымский район, Тюменская область",66530,atomawashi
170,"Нефтеюганск, Тюменская область",122855,atomawashi
171,"Нефтеюганский район, Тюменская область",44815,atomawashi
172,"Нижнетавдинский район, Тюменская область",23048,atomawashi
173,"Нижневартовск, Тюменская область",251694,atomawashi
174,"Нижневартовский район, Тюменская область",35745,atomawashi
175,"Нягань, Тюменская область",54890,atomawashi
176,"Ноябрьск, Тюменская область",110620,atomawashi
177,"Новый Уренгой, Тюменская область",104107,atomawashi
178,"Октябрьский район, Тюменская область",32224,atomawashi
179,"Омутинский район, Тюменская область",19608,atomawashi
180,"Покачи, Тюменская область",17171,atomawashi
181,"Приуральский район, Тюменская область",14995,atomawashi
182,"Пуровский район, Тюменская область",51280,atomawashi
183,"Пыть-Ях, Тюменская область",41488,atomawashi
184,"Радужный, Тюменская область",43399,atomawashi
185,"Салехард, Тюменская область",42845,atomawashi
186,"Сладковский район, Тюменская область",12264,atomawashi
187,"Сорокинский район, Тюменская область",10254,atomawashi
188,"Советский район, Тюменская область",48059,atomawashi
189,"Сургут, Тюменская область",306675,atomawashi
190,"Сургутский район, Тюменская область",113515,atomawashi
191,"Шурышкарский район, Тюменская область",9814,atomawashi
192,"Тазовский район, Тюменская область",16537,atomawashi
193,"Тюмень, Тюменская область",604816,atomawashi
194,"Тюменский район, Тюменская область",107175,atomawashi
195,"Тобольск, Тюменская область",103583,atomawashi
196,"Тобольский район, Тюменская область",22354,atomawashi
197,"Упоровский район, Тюменская область",20662,atomawashi
198,"Урай, Тюменская область",39457,atomawashi
199,"Уватский район, Тюменская область",19452,atomawashi
200,"Вагайский район, Тюменская область",22539,atomawashi
201,"Викуловский район, Тюменская область",16435,atomawashi
202,"Заводоуковский городской округ, Тюменская область",46748,atomawashi
