,name,pop
188,Landkreis Rostock,"211,878"
189,Ludwigslust-Parchim,"212,631"
190,Mecklenburgische Seenplatte,"261,733"
191,Nordwestmecklenburg,"155,424"
192,Rostock,"204,167"
193,Schwerin,"92,138"
194,Vorpommern-Greifswald,"237,697"
195,Vorpommern-Rügen,"223,470"
196,Ammerland,"119,917"
197,Aurich,"187,998"
198,Braunschweig,"248,502"
199,Celle,"176,157"
200,Cloppenburg,"162,350"
201,Cuxhaven,"196,787"
202,Delmenhorst,"74,804"
203,Diepholz,"211,093"
204,Emden,"50,016"
205,Emsland,"315,757"
206,Friesland,"96,937"
207,Gifhorn,"172,541"
208,Goslar,"137,256"
209,Göttingen,"250,220"
210,Grafschaft Bentheim,"134,329"
211,Hameln-Pyrmont,"147,813"
212,Harburg,"245,199"
213,Heidekreis,"136,200"
214,Soltau-Fallingbostel,"90,908"
215,Helmstedt,"274,554"
216,Hildesheim,"71,438"
217,Holzminden,"165,809"
218,Leer,"48,728"
219,Lüchow-Dannenberg,"178,122"
220,Lüneburg,"119,631"
221,Nienburg/Weser,"133,905"
222,Northeim,"126,798"
223,Oldenburg,"160,907"
224,Oldenburg Stadt,"351,316"
225,Osnabrück,"156,897"
226,Osnabrück Stadt,"111,484"
227,Osterholz,"73,793"
228,Osterode am Harz,"130,601"
229,Peine,"1,128,037"
230,Region Hannover,"161,842"
231,Rotenburg (Wümme),"98,966"
232,Salzgitter,"155,847"
233,Schaumburg,"197,448"
234,Stade,"92,533"
235,Uelzen,"136,184"
236,Vechta,"133,215"
237,Verden,"88,765"
238,Wesermarsch,"75,534"
239,Wilhelmshaven,"56,539"
240,Wittmund,"120,035"
241,Wolfenbüttel,"123,027"
242,Bielefeld,"329,782"
243,Bochum,"361,876"
244,Bonn,"313,958"
245,Borken,"365,191"
246,Bottrop,"116,017"
247,Coesfeld,"215,996"
248,Dortmund,"580,511"
249,Duisburg,"485,465"
250,Düren,"259,073"
251,Düsseldorf,"604,527"
252,Ennepe-Ruhr-Kreis,"322,916"
253,Essen,"573,784"
254,Euskirchen,"188,158"
255,Gelsenkirchen,"257,651"
256,Gütersloh,"354,463"
257,Hagen,"186,716"
258,Hamm,"176,580"
259,Heinsberg,"249,310"
260,Herford,"249,219"
261,Herne,"154,608"
262,Hochsauerlandkreis,"261,561"
263,Höxter,"142,770"
264,Kleve,"304,963"
265,Köln,"1,046,680"
266,Krefeld,"222,500"
267,Leverkusen,"161,540"
268,Lippe,"345,127"
269,Märkischer Kreis,"413,820"
270,Mettmann,"477,760"
271,Minden-Lübbecke,"309,216"
272,Mönchengladbach,"256,853"
273,Mülheim an der Ruhr,"167,108"
274,Münster,"302,178"
275,Oberbergischer Kreis,"270,618"
276,Oberhausen,"209,292"
277,Olpe,"134,759"
278,Paderborn,"299,071"
279,Recklinghausen,"613,092"
280,Remscheid,"109,009"
281,Rhein-Erft-Kreis,"459,448"
282,Rheinisch-Bergischer Kreis,"279,497"
283,Rhein-Kreis Neuss,"442,522"
284,Rhein-Sieg-Kreis,"585,781"
285,Siegen-Wittgenstein,"275,909"
286,Soest,"296,742"
287,Solingen,"156,771"
288,Städteregion Aachen,"547,661"
289,Steinfurt,"437,127"
290,Unna,"391,774"
291,Viersen,"295,067"
292,Warendorf,"273,412"
293,Wesel,"457,244"
294,Wuppertal,"345,425"
295,Ahrweiler,"126,643"
296,Altenkirchen (Westerwald),"128,228"
297,Alzey-Worms,"125,998"
298,Bad Dürkheim,"131,530"
299,Bad Kreuznach,"155,944"
300,Bernkastel-Wittlich,"110,981"
301,Birkenfeld,"80,591"
302,Bitburg-Prüm,"96,408"
303,Cochem-Zell,"62,041"
304,Donnersbergkreis,"74,962"
305,Frankenthal (Pfalz),"47,724"
306,Germersheim,"126,266"
307,Kaiserslautern,"104,288"
308,Kaiserslautern Stadt,"97,382"
309,Koblenz,"111,434"
310,Kusel,"70,883"
311,Landau in der Pfalz,"44,465"
312,Ludwigshafen am Rhein,"163,832"
313,Mainz,"206,991"
314,Mainz-Bingen,"204,514"
315,Mayen-Koblenz,"210,441"
316,Neustadt an der Weinstraße,"52,564"
317,Neuwied,"179,317"
318,Pirmasens,"40,046"
319,Rhein-Hunsrück-Kreis,"101,945"
320,Rhein-Lahn-Kreis,"121,487"
321,Rhein-Pfalz-Kreis,"150,051"
322,Speyer,"49,855"
323,Südliche Weinstraße,"109,735"
324,Südwestpfalz,"96,410"
325,Trier,"108,472"
326,Trier-Saarburg,"145,227"
327,Vulkaneifel,"60,775"
328,Westerwaldkreis,"199,131"
329,Worms,"81,010"
330,Zweibrücken,"34,011"
331,Merzig-Wadern,"102,987"
332,Neunkirchen,"133,021"
333,Saarlouis,"195,632"
334,Saarpfalz-Kreis,"143,532"
335,Stadtverband Saarbrücken,"325,604"
336,St. Wendel,"88,259"
337,Bautzen,"306,570"
338,Chemnitz,"243,521"
339,Dresden,"536,308"
340,Erzgebirgskreis,"349,582"
341,Görlitz,"260,188"
342,Leipzig,"257,647"
343,Leipzig Stadt,"544,479"
344,Meißen,"243,745"
345,Mittelsachsen,"312,711"
346,Nordsachsen,"197,042"
347,Sächsische Schweiz-Osterzgebirge,"245,954"
348,Vogtlandkreis,"232,390"
349,Zwickau,"325,137"
350,Altmarkkreis Salzwedel,"86,071"
351,Anhalt-Bitterfeld,"165,076"
352,Börde,"172,830"
353,Burgenlandkreis,"184,055"
354,Dessau-Roßlau,"83,061"
355,Halle (Saale),"232,470"
356,Harz,"219,618"
357,Jerichower Land,"91,359"
358,Magdeburg,"232,305"
359,Mansfeld-Südharz,"142,054"
360,Saalekreis,"186,510"
361,Salzlandkreis,"196,750"
362,Stendal,"114,668"
363,Wittenberg,"128,721"
364,Dithmarschen,"132,685"
365,Flensburg,"84,694"
366,Herzogtum Lauenburg,"190,703"
367,Kiel,"243,148"
368,Lübeck,"214,420"
369,Neumünster,"77,588"
370,Nordfriesland,"162,203"
371,Ostholstein,"198,355"
372,Pinneberg,"304,087"
373,Plön,"126,865"
374,Rendsburg-Eckernförde,"268,628"
375,Schleswig-Flensburg,"195,593"
376,Segeberg,"264,972"
377,Steinburg,"130,218"
378,Stormarn,"236,705"
379,Altenburger Land,"92,705"
380,Eichsfeld,"100,730"
381,Eisenach,"41,884"
382,Erfurt,"206,219"
383,Gera,"94,492"
384,Gotha,"135,381"
385,Greiz,"101,382"
386,Hildburghausen,"64,673"
387,Ilm-Kreis,"108,899"
388,Jena,"108,207"
389,Kyffhäuserkreis,"77,148"
390,Nordhausen,"85,055"
391,Saale-Holzland-Kreis,"83,966"
392,Saale-Orla-Kreis,"82,887"
393,Saalfeld-Rudolstadt,"109,646"
394,Schmalkalden-Meiningen,"125,056"
395,Sömmerda,"70,537"
396,Sonneberg,"56,809"
397,Suhl,"36,208"
398,Unstrut-Hainich-Kreis,"103,922"
399,Wartburgkreis,"125,835"
400,Weimar,"63,477"
401,Weimarer Land,"81,641"
