,D,norm
0,1,8.74715129507e+12
1,3,51188969047.9
2,4,2.08727578607e+11
3,9,1.15652821233e+11
4,12,2.72926342475e+11
5,27(Ⅰ),4.93237330399e+11
6,27(Ⅱ),1.24828236208e+11
7,27(Ⅲ),1.91644618028e+11
8,36(Ⅰ),5.52591427732e+11
9,36(Ⅱ),5.7725612587e+11
10,81(Ⅰ),1.48948090044e+12
11,81(Ⅱ),1.51619007922e+11
12,81(Ⅲ),1.68982904481e+11
13,81(Ⅳ),3.12638424809e+11
14,81(Ⅴ),1.31068648744e+11
15,81(Ⅵ),3.95311208051e+11
16,108(Ⅰ),1.13087577816e+12
17,108(Ⅱ),5.7273970148e+11
18,108(Ⅲ),2.76557335009e+11
19,108(Ⅳ),8.92417142846e+11
20,108(Ⅴ),7.23578609956e+11
21,108(Ⅵ),6.26259552587e+11
22,324(Ⅰ),1.98193350899e+12
23,324(Ⅱ),1.4468822468e+11
24,324(Ⅲ),85045403785.5
25,324(Ⅳ),2.22520918178e+12
26,324(Ⅴ),8.81458565158e+11
27,324(Ⅵ),3.77312430785e+11
28,324(Ⅶ),6.91426046402e+11
29,324(Ⅷ),5.74141313089e+11
30,324(Ⅸ),4.72844129605e+11
31,324(Ⅹ),1.09777975284e+12
32,324(ⅩⅠ),6.01854532406e+11
33,324(ⅩⅡ),6.86407921926e+11
34,324(ⅩⅢ),3.13104090015e+11
35,324(ⅩⅣ),4.59491324483e+11
36,324(ⅩⅤ),5.66179500147e+11
