,D,norm
0,1,1433239.0
1,3,258001.167716
2,4,254804.04979
3,9,429369.920795
4,12,408097.780969
5,27(Ⅰ),593860.586931
6,27(Ⅱ),423267.543356
7,27(Ⅲ),515960.808941
8,36(Ⅰ),414371.009033
9,36(Ⅱ),442744.112614
10,81(Ⅰ),964119.924338
11,81(Ⅱ),437850.801194
12,81(Ⅲ),375491.665322
13,81(Ⅳ),486562.7168
14,81(Ⅴ),524686.757507
15,81(Ⅵ),317996.887237
16,108(Ⅰ),203306.249006
17,108(Ⅱ),484050.779447
18,108(Ⅲ),336810.347083
19,108(Ⅳ),442333.330337
20,108(Ⅴ),669176.667863
21,108(Ⅵ),597206.426616
22,324(Ⅰ),631918.861061
23,324(Ⅱ),542180.48294
24,324(Ⅲ),490087.352329
25,324(Ⅳ),470831.836116
26,324(Ⅴ),389991.911193
27,324(Ⅵ),627293.024587
28,324(Ⅶ),577886.96908
29,324(Ⅷ),365135.530157
30,324(Ⅸ),454437.590531
31,324(Ⅹ),537727.909883
32,324(ⅩⅠ),464211.891469
33,324(ⅩⅡ),641611.200768
34,324(ⅩⅢ),379118.824967
35,324(ⅩⅣ),699098.387532
36,324(ⅩⅤ),456768.418206
