,name,pop,lat,lon,
78,Fürth,93861,49.4772631,10.9896165,
79,Fürth Stadt,97480,49.4772631,10.9896165,
80,Garmisch-Partenkirchen,78782,47.4938359,11.103992,
81,Günzburg,107120,48.4539028,10.2785509,
82,Haßberge,80257,50.0591577,10.6106885,
83,Hof,105628,50.3219015,11.9178807,
84,Hof Stadt,51108,50.7591658,7.3711598,
85,Ingolstadt,96071,48.7630165,11.4250395,
86,Kaufbeuren,38946,47.8803788,10.622246,
87,Kelheim,90040,48.9187285,11.8727886,
88,Kempten (Allgäu),59369,47.7267063,10.3168835,
89,Kitzingen,79304,49.7339751,10.161216,
90,Kronach,75353,50.2397846,11.3277669,
91,Kulmbach,73055,50.1008448,11.4479149,
92,Landsberg am Lech,83612,48.0514973,10.8737728,
93,Landshut,115644,48.536217,12.1516551,
94,Landshut Stadt,56446,48.536217,12.1516551,
95,Lichtenfels,65602,50.1453156,11.0680042,
96,Lindau (Bodensee),69522,47.57286685,9.6961918511,
97,Main-Spessart,122047,49.9690725,9.6403768,
98,Memmingen,38127,47.9867696,10.181319,
99,Miesbach,80840,47.790025,11.8335417,
100,Miltenberg,114255,49.7034965,9.2512498,
101,Mühldorf am Inn,92882,48.240507,12.5252449,
102,München,249784,48.1371079,11.5753822,
103,München Stadt,1185421,48.17379255,11.5006016814,
104,Neuburg-Schrobenhausen,76493,48.6536944,11.2250111,
105,Neumarkt in der Oberpfalz,105346,49.2159263,11.5329526,
106,Neustadt an der Aisch-Bad Windsheim,85686,49.583431,10.4145486608,
107,Neustadt an der Waldnaab,91792,49.7314121,12.1732938,
108,Neu-Ulm,140666,48.3954965,10.00589,
109,Nürnberg,470943,49.4538723,11.0772978,
110,Nürnberger Land,149127,49.5091089,11.3569617862,
111,Oberallgäu,128665,47.6130964,10.270825,
112,Ostallgäu,114547,47.8025889,10.6259267,
113,Passau,162355,48.5740136,13.4606445,
114,Passau Stadt,48516,48.5740136,13.4606445,
115,Pfaffenhofen an der Ilm,88449,48.6046333,11.5185333,
116,Regen,76688,48.9700463,13.1261867,
117,Regensburg,144278,49.0195333,12.0974869,
118,Regensburg Stadt,118639,49.0195333,12.0974869,
119,Rhön-Grabfeld,77197,50.4690931,10.0953931,
120,Rosenheim,190104,47.8539273,12.127262,
121,Rosenheim Stadt,53155,47.8539273,12.127262,
122,Roth,103944,49.2458557,11.0909712,
123,Rottal-Inn,104013,48.411799,12.8459952151,
124,Schwabach,33539,49.3295535,11.0195132,
125,Schwandorf,131260,49.3261854,12.1092708,
126,Schweinfurt,103697,50.0499945,10.233302,
127,Schweinfurt Stadt,51962,50.0469079,10.2445285,
128,Starnberg,108887,48.0001038,11.3508972,
129,Straubing,40093,48.8818792,12.5695073,
130,Straubing-Bogen,81062,48.9270243,12.6265811,
131,Tirschenreuth,77865,49.8780269,12.3372014,
132,Traunstein,145408,47.8701474,12.6423403,
133,Unterallgäu,115770,48.033975,10.35,
134,Weiden in der Oberpfalz,42100,49.6752749,12.1631636,
135,Weilheim-Schongau,106376,47.7906545,11.0631242,
136,Weißenburg-Gunzenhausen,86381,49.03156455,10.929762487,
137,Wunsiedel im Fichtelgebirge,87941,50.0373442,12.0027487,
138,Würzburg,138261,49.79245,9.9329662,
139,Würzburg Stadt,123378,49.79245,9.9329662,
140,Berlin,3260000,52.5170365,13.3888599,
141,Barnim,0,52.8020302,13.6771959674,
142,Brandenburg an der Havel,0,52.4108261,12.5497933,
143,Cottbus,0,51.7567447,14.3357307,
144,Dahme-Spreewald,0,52.2280614,13.7663971246,
145,Elbe-Elster,0,51.6273649,13.4806024253,
146,Frankfurt (Oder),0,52.3412273,14.549452,
147,Havelland,0,52.728493,13.3816348,
148,Märkisch-Oderland,0,52.63829305,14.1778995399,
149,Oberhavel,0,52.91888095,13.2279803025,
150,Oberspreewald-Lausitz,0,51.63100315,14.0338552466,
151,Oder-Spree,0,52.25021415,14.2683876185,
152,Ostprignitz-Ruppin,0,53.0019582,12.703458911,
153,Potsdam,0,52.4009309,13.0591397,
154,Potsdam-Mittelmark,0,52.3940842,13.1732342,
155,Prignitz,0,52.9990183,11.7570644847,
156,Spree-Neiße,0,51.8445872,14.1306236,
157,Teltow-Fläming,0,52.3931335,13.3591516652,
158,Uckermark,0,53.2452696,13.9151266547,
159,Bremen,533455,53.0758196,8.8071646,
160,Bremerhaven,126629,53.5522264,8.5865509,
161,Hamburg,1592770,53.5437641,10.0099133,
162,Bergstraße,240111,49.6408048,8.6372164,
163,Darmstadt,134272,49.8727746,8.6511775,
164,Darmstadt-Dieburg,248983,49.882598,8.8481024,
165,Frankfurt am Main,618266,50.1106529,8.6820934,
166,Fulda,187477,50.5521486,9.676511,
167,Gießen,225967,50.5843976,8.67487,
168,Groß-Gerau,227015,49.9201916,8.4721534,
169,Hersfeld-Rotenburg,125268,50.9015054,9.762825476,
170,Hochtaunuskreis,203220,50.2431313,8.5092694,
171,Kassel,222210,51.3090209,9.4762981,
172,Kassel Stadt,187288,51.3402821,9.4884274325,
173,Lahn-Dill-Kreis,237823,50.603569,8.391651,
174,Limburg-Weilburg,151837,50.4411601,8.1577966,
175,Main-Kinzig-Kreis,357548,50.2119793,9.1521552,
176,Main-Taunus-Kreis,200030,50.0999917,8.4708325,
177,Marburg-Biedenkopf,229342,50.8330156,8.7332066,
178,Odenwaldkreis,85670,49.6841067,8.973222,
179,Offenbach,301627,50.0887662,8.7662861,
180,Offenbach am Main,111386,50.0887662,8.7662861,
181,Rheingau-Taunus-Kreis,163170,50.1241483,8.0912155,
182,Schwalm-Eder-Kreis,176689,51.0606947,9.4001823,
183,Vogelsbergkreis,107692,50.6412263,9.258772,
184,Waldeck-Frankenberg,149874,51.2794889,8.9351428,
185,Werra-Meißner-Kreis,112396,51.2486593,9.9249155,
186,Wetteraukreis,250745,50.344664,8.8920004,
187,Wiesbaden,251871,50.0833,8.25,
188,Landkreis Rostock,0,53.9210095,12.2936902491,
189,Ludwigslust-Parchim,0,53.3300229,11.4993644,
190,Mecklenburgische Seenplatte,0,53.58372785,13.0637987031,
191,Nordwestmecklenburg,0,53.8104827,11.2325183,
192,Rostock,0,54.0924445,12.1286127,
193,Schwerin,0,53.6288297,11.4148038,
194,Vorpommern-Greifswald,0,53.72458615,13.8981846706,
195,Vorpommern-Rügen,0,54.2288565,12.8131641504,
196,Ammerland,93603,53.2138834,8.0055549,
197,Aurich,168281,53.4695604,7.4823808,
198,Braunschweig,252351,52.2639962,10.5252669,
199,Celle,165433,52.6240562,10.0810524,
200,Cloppenburg,115243,52.8461339,8.0438783,
201,Cuxhaven,190234,53.8687798,8.6982859,
202,Delmenhorst,72072,53.048095,8.6286066,
203,Diepholz,183448,52.6113677,8.372661,
204,Emden,50144,53.3670442,7.2058004,
205,Emsland,255394,52.6987679,7.3660321859,
206,Friesland,93634,53.467993,8.0221914,
207,Gifhorn,129505,52.4827905,10.5445691,
208,Goslar,157839,51.9059936,10.4266284,
209,Göttingen,244954,51.5327604,9.9352051,
210,Grafschaft Bentheim,117364,52.4647463,7.0102561,
211,Hameln-Pyrmont,154554,52.0895789,9.3875409,
212,Harburg,188710,53.4541741,9.9890136,
213,Heidekreis (Soltau-Fallingbostel),123187,52.9094349,9.7816852921,
214,Helmstedt,97807,52.2277037,11.0104702,
215,Hildesheim,280497,52.1521636,9.9513046,
216,Holzminden,80070,51.828966,9.4463346,
217,Leer,143822,53.2473626,7.4631423456,
218,Lüchow-Dannenberg,47657,53.0244717,11.0348965,
219,Lüneburg,130715,53.248706,10.4078555,
220,Nienburg/Weser,112209,52.6410849,9.2181918,
221,Northeim,147554,51.705401,9.9972782,
222,Oldenburg,99424,53.1389753,8.2146017,
223,Oldenburg Stadt,140149,53.1389753,8.2146017,
224,Osnabrück,293671,52.2668373,8.0497412,
225,Osnabrück Stadt,150807,52.2668373,8.0497412,
226,Osterholz,94196,53.055514,8.9507122,
227,Osterode am Harz,87111,51.7277337,10.2509867,
228,Peine,117550,52.3213442,10.2324587,
229,Region Hannover,1040428,52.3797179,9.7273217,
230,Rotenburg (Wümme),137896,53.1108906,9.4049292,
231,Salzgitter,111069,52.1503721,10.3593147,
232,Schaumburg,150168,48.5804629,12.2575141,
233,Stade,163769,53.5997939,9.4754378,
234,Uelzen,91777,52.9668375,10.5586149,
235,Vechta,101627,52.7310837,8.2873269,
236,Verden,113223,52.9223406,9.2281533,
237,Wesermarsch,89349,53.3367145,8.4316607,
238,Wilhelmshaven,90982,53.5278793,8.106301,
239,Wittmund,52360,53.5820786,7.7853342,
240,Wolfenbüttel,115370,52.1625283,10.5348215,
241,Wolfsburg,124896,52.4205588,10.7861682,
242,Bielefeld,305566,52.010877,8.540868,
243,Bochum,386271,51.482321,7.2187465,
244,Bonn,276653,50.7358511,7.1006599,
245,Borken,307778,51.8443183,6.8582247,
246,Bottrop,114640,51.5215805,6.9292036,
247,Coesfeld,176193,51.9452704,7.1676886,
248,Dortmund,584089,51.5142273,7.4652789,
249,Duisburg,525378,51.4349994,6.7595621,
250,Düren,233840,50.8031684,6.4820806,
251,Düsseldorf,563531,51.2254018,6.7763137,
252,Ennepe-Ruhr-Kreis,339385,51.3481444,7.3351844,
253,Essen,623427,51.4572062,7.0114963,
254,Euskirchen,162820,50.661098,6.7876887,
255,Gelsenkirchen,287508,51.5109791,7.0959263,
256,Gütersloh,287883,51.9063997,8.3782078,
257,Hagen,209363,51.357862,7.4727227,
258,Hamm,171170,51.6615566,7.8166611294,
259,Heinsberg,212745,51.0653377,6.0985832,
260,Herford,227548,52.1152245,8.6711118,
261,Herne,174238,51.5380394,7.219985,
262,Hochsauerlandkreis,260265,51.2958333,8.4208325,
263,Höxter,140653,51.7747369,9.3816877,
264,Kleve,261032,51.7854839,6.1313674153,
265,Köln,928309,50.9383611,6.9599738,
266,Krefeld,232261,51.3331205,6.5623343,
267,Leverkusen,154692,51.0324743,6.9881194,
268,Lippe,318404,51.6711151,7.7158528,
269,Märkischer Kreis,421321,51.2655533,7.6986113,
270,Mettmann,479749,51.2527778,6.9777778,
271,Minden-Lübbecke,282588,52.2881045,8.9168852,
272,Mönchengladbach,249587,51.1946983,6.4353641,
273,Mülheim an der Ruhr,176423,51.4272809,6.8828707,
274,Münster,246186,51.9501317,7.6133016503,
275,Oberbergischer Kreis,245391,51.0128184,7.5179457,
276,Oberhausen,220286,51.51399325,6.8493227613,
277,Olpe,125142,51.0297603,7.8424193,
278,Paderborn,230717,51.71895955,8.7648697782,
279,Recklinghausen,631024,51.6143815,7.1978546,
280,Remscheid,120132,51.1798706,7.1943544,
281,Rhein-Erft-Kreis,399751,50.90334,6.763334,
282,Rheinisch-Bergischer Kreis,249742,51.0350162,7.1726234,
283,Rhein-Kreis Neuss,403764,51.1520625,6.6354162,
284,Rhein-Sieg-Kreis,476453,50.752824,7.3813805717,
285,Siegen-Wittgenstein,279700,50.9175238,8.137557212,
286,Soest,266693,51.5725501,8.1061259,
287,Solingen,159103,51.1712468,7.0838996,
288,Städteregion Aachen,515706,50.7611222,6.2055544,
289,Steinfurt,378416,52.1294289,7.3903454,
290,Unna,387429,51.5348835,7.689014,
291,Viersen,261697,51.2561445,6.3904284,
292,Warendorf,247447,51.9532449,7.9912335,
293,Wesel,426094,51.6576909,6.617087,
294,Wuppertal,365662,51.264018,7.1780374,
