,D,norm
0,1,4.63262295831e+12
1,3,24993218686.0
2,4,46048349858.6
3,9,75580496577.8
4,12,2.18360640629e+11
5,27(Ⅰ),3.46191814323e+11
6,27(Ⅱ),1.23952313689e+11
7,27(Ⅲ),2.77275190008e+11
8,36(Ⅰ),1.58529608273e+11
9,36(Ⅱ),3.76603763161e+11
10,81(Ⅰ),3.86483748278e+11
11,81(Ⅱ),1.06966794214e+11
12,81(Ⅲ),66101885781.2
13,81(Ⅳ),4.11994692925e+11
14,81(Ⅴ),4.33454628126e+11
15,81(Ⅵ),3.69043656387e+11
16,108(Ⅰ),2.7313921355e+11
17,108(Ⅱ),1.01380061029e+11
18,108(Ⅲ),3.69239005724e+11
19,108(Ⅳ),5.85262165502e+11
20,108(Ⅴ),2.84695477591e+11
21,108(Ⅵ),4.10563452618e+11
22,324(Ⅰ),9.12804183956e+11
23,324(Ⅱ),3.30393940554e+11
24,324(Ⅲ),2.69218201188e+11
25,324(Ⅳ),1.12349154597e+12
26,324(Ⅴ),3.08355858421e+11
27,324(Ⅵ),3.98948231442e+11
28,324(Ⅶ),2.30871938127e+11
29,324(Ⅷ),3.80437985152e+11
30,324(Ⅸ),2.17391587118e+11
31,324(Ⅹ),4.77094391825e+11
32,324(ⅩⅠ),1.83694224899e+11
33,324(ⅩⅡ),3.59780128632e+11
34,324(ⅩⅢ),4.03001581832e+11
35,324(ⅩⅣ),1.93544998825e+11
36,324(ⅩⅤ),2.72029235938e+11
