,D,norm
0,1,6.87989934369e+12
1,3,1.0347268675e+11
2,4,1.74244042134e+11
3,9,2.64613676841e+11
4,12,4.42069700765e+11
5,27(Ⅰ),1.44085124726e+11
6,27(Ⅱ),1.58515083955e+11
7,27(Ⅲ),1.13085929806e+11
8,36(Ⅰ),6.03001346165e+11
9,36(Ⅱ),7.23328399613e+11
10,81(Ⅰ),1.00848408971e+12
11,81(Ⅱ),3.02385512228e+11
12,81(Ⅲ),1.42280969289e+11
13,81(Ⅳ),8.11629649302e+11
14,81(Ⅴ),3.49063546997e+11
15,81(Ⅵ),3.96885014183e+11
16,108(Ⅰ),1.16879034677e+12
17,108(Ⅱ),1.84092594143e+11
18,108(Ⅲ),97471159681.4
19,108(Ⅳ),3.79992497398e+11
20,108(Ⅴ),4.686398033e+11
21,108(Ⅵ),3.44107644456e+11
22,324(Ⅰ),1.27781019574e+12
23,324(Ⅱ),4.36533749687e+11
24,324(Ⅲ),1.0216341782e+11
25,324(Ⅳ),2.31048694858e+12
26,324(Ⅴ),6.84596111593e+11
27,324(Ⅵ),5.98502695426e+11
28,324(Ⅶ),7.71516328447e+11
29,324(Ⅷ),3.79162453449e+11
30,324(Ⅸ),5.62763511967e+11
31,324(Ⅹ),5.84240507841e+11
32,324(ⅩⅠ),7.80846003526e+11
33,324(ⅩⅡ),4.81851564577e+11
34,324(ⅩⅢ),6.39387309294e+11
35,324(ⅩⅣ),5.95602988961e+11
36,324(ⅩⅤ),7.70041964739e+11
