,D,norm
0,1,2.93651616231e+12
1,3,13200126721.3
2,4,1.87383058947e+11
3,9,1.77068309025e+11
4,12,70443680726.8
5,27(Ⅰ),43228299799.7
6,27(Ⅱ),2.43366233661e+11
7,27(Ⅲ),48450822700.5
8,36(Ⅰ),1.81347823185e+11
9,36(Ⅱ),2.59892208154e+11
10,81(Ⅰ),1.22370807154e+11
11,81(Ⅱ),2.92382170886e+11
12,81(Ⅲ),77304394498.5
13,81(Ⅳ),2.21279427512e+11
14,81(Ⅴ),2.14071257283e+11
15,81(Ⅵ),3.82707579409e+11
16,108(Ⅰ),2.7049465966e+11
17,108(Ⅱ),3.01340891432e+11
18,108(Ⅲ),55525509400.9
19,108(Ⅳ),3.77033388887e+11
20,108(Ⅴ),1.10241155494e+11
21,108(Ⅵ),1.32023006274e+11
22,324(Ⅰ),5.52040829366e+11
23,324(Ⅱ),1.74541184538e+11
24,324(Ⅲ),1.75674326959e+11
25,324(Ⅳ),6.22355454967e+11
26,324(Ⅴ),4.50451926308e+11
27,324(Ⅵ),2.0284138372e+11
28,324(Ⅶ),2.56339599569e+11
29,324(Ⅷ),3.41036703654e+11
30,324(Ⅸ),2.63344339941e+11
31,324(Ⅹ),2.74414605388e+11
32,324(ⅩⅠ),1.62770333798e+11
33,324(ⅩⅡ),1.38857668338e+11
34,324(ⅩⅢ),2.87082631472e+11
35,324(ⅩⅣ),2.58396598622e+11
36,324(ⅩⅤ),4.11936342454e+11
