,D,norm
0,1,1.25048616875e+12
1,3,30750231021.8
2,4,24025343950.5
3,9,1.426676169e+11
4,12,1.46086565382e+11
5,27(Ⅰ),2.23063153783e+11
6,27(Ⅱ),69402542946.9
7,27(Ⅲ),1.44546874534e+11
8,36(Ⅰ),2.16797200594e+11
9,36(Ⅱ),2.64090005227e+11
10,81(Ⅰ),1.28904672069e+11
11,81(Ⅱ),2.57427808393e+11
12,81(Ⅲ),1.60354547176e+11
13,81(Ⅳ),3.27029739406e+11
14,81(Ⅴ),1.45252572991e+11
15,81(Ⅵ),1.53474853927e+11
16,108(Ⅰ),3.27108294441e+11
17,108(Ⅱ),74026787271.6
18,108(Ⅲ),2.98870993289e+11
19,108(Ⅳ),2.67240881841e+11
20,108(Ⅴ),1.57320642071e+11
21,108(Ⅵ),1.23156381251e+11
22,324(Ⅰ),3.24262354653e+11
23,324(Ⅱ),1.55158205574e+11
24,324(Ⅲ),1.28487529799e+11
25,324(Ⅳ),8.63524044437e+11
26,324(Ⅴ),4.53991454476e+11
27,324(Ⅵ),4.18190816432e+11
28,324(Ⅶ),3.17832232203e+11
29,324(Ⅷ),2.32001040777e+11
30,324(Ⅸ),2.95062276363e+11
31,324(Ⅹ),2.34371636578e+11
32,324(ⅩⅠ),2.78242763651e+11
33,324(ⅩⅡ),2.67719246765e+11
34,324(ⅩⅢ),1.23684164206e+11
35,324(ⅩⅣ),50893152915.2
36,324(ⅩⅤ),2.7609737095e+11
