,D,norm
0,1,5.18722530151e+11
1,3,97914989521.8
2,4,78532186363.6
3,9,88981286963.4
4,12,95573345098.8
5,27(Ⅰ),2.84472509183e+11
6,27(Ⅱ),1.46008876688e+11
7,27(Ⅲ),53265067541.7
8,36(Ⅰ),4.5806021457e+11
9,36(Ⅱ),2.36506079409e+11
10,81(Ⅰ),6.51961791002e+11
11,81(Ⅱ),1.98165158053e+11
12,81(Ⅲ),42563305301.4
13,81(Ⅳ),1.1617027163e+11
14,81(Ⅴ),2.28464940997e+11
15,81(Ⅵ),2.23918358698e+11
16,108(Ⅰ),9.49676610353e+11
17,108(Ⅱ),1.08605016946e+11
18,108(Ⅲ),1.53998889846e+11
19,108(Ⅳ),2.95977726174e+11
20,108(Ⅴ),2.41551720215e+11
21,108(Ⅵ),1.53689675191e+11
22,324(Ⅰ),1.32044928895e+12
23,324(Ⅱ),1.25451551205e+11
24,324(Ⅲ),52349569261.2
25,324(Ⅳ),8.21788825661e+11
26,324(Ⅴ),4.27250169584e+11
27,324(Ⅵ),2.3434612552e+11
28,324(Ⅶ),1.72852090474e+11
29,324(Ⅷ),1.42525328269e+11
30,324(Ⅸ),1.69261790667e+11
31,324(Ⅹ),1.83799770245e+11
32,324(ⅩⅠ),1.33629767447e+11
33,324(ⅩⅡ),5.09381760923e+11
34,324(ⅩⅢ),1.11179660107e+11
35,324(ⅩⅣ),2.20789173029e+11
36,324(ⅩⅤ),1.03826086245e+11
