,D,norm
0,1,4.42027731408e+12
1,3,1.37932735024e+11
2,4,7526591803.51
3,9,1.18952690105e+11
4,12,2.73638700617e+11
5,27(Ⅰ),1.07037325207e+11
6,27(Ⅱ),1.92031479412e+11
7,27(Ⅲ),1.71399814441e+11
8,36(Ⅰ),1.88294976818e+11
9,36(Ⅱ),3.24029804466e+11
10,81(Ⅰ),3.79237001276e+11
11,81(Ⅱ),1.40919795161e+11
12,81(Ⅲ),2.36712178709e+11
13,81(Ⅳ),5.38610988252e+11
14,81(Ⅴ),1.94672379087e+11
15,81(Ⅵ),4.91004305062e+11
16,108(Ⅰ),1.32194191224e+11
17,108(Ⅱ),1.59033690749e+11
18,108(Ⅲ),1.50323384448e+11
19,108(Ⅳ),5.01753940133e+11
20,108(Ⅴ),2.50995305733e+11
21,108(Ⅵ),2.80417459046e+11
22,324(Ⅰ),7.41645166156e+11
23,324(Ⅱ),1.88980301183e+11
24,324(Ⅲ),3.22087238292e+11
25,324(Ⅳ),1.15777199017e+12
26,324(Ⅴ),2.76130681335e+11
27,324(Ⅵ),4.28987625819e+11
28,324(Ⅶ),2.62276916979e+11
29,324(Ⅷ),4.50767944324e+11
30,324(Ⅸ),4.52485388823e+11
31,324(Ⅹ),2.18941894635e+11
32,324(ⅩⅠ),4.19583251425e+11
33,324(ⅩⅡ),2.67016153675e+11
34,324(ⅩⅢ),5.01309954438e+11
35,324(ⅩⅣ),3.17811105836e+11
36,324(ⅩⅤ),1.51496913223e+11
