,D,norm
0,1,1.56494609548e+12
1,3,26711499239.9
2,4,40443713074.8
3,9,1.30796778863e+11
4,12,1.15398905367e+11
5,27(Ⅰ),3.0358199484e+11
6,27(Ⅱ),82746320705.8
7,27(Ⅲ),1.82500556965e+11
8,36(Ⅰ),2.31296857495e+11
9,36(Ⅱ),2.86149636397e+11
10,81(Ⅰ),2.9392362382e+11
11,81(Ⅱ),2.72185944891e+11
12,81(Ⅲ),79045858267.9
13,81(Ⅳ),2.50924326721e+11
14,81(Ⅴ),98181503899.4
15,81(Ⅵ),2.89050791263e+11
16,108(Ⅰ),5.0153957313e+11
17,108(Ⅱ),2.50519573471e+11
18,108(Ⅲ),1.07011150728e+11
19,108(Ⅳ),2.86509089181e+11
20,108(Ⅴ),3.0138877638e+11
21,108(Ⅵ),1.27040516555e+11
22,324(Ⅰ),4.68582793259e+11
23,324(Ⅱ),82908624661.0
24,324(Ⅲ),1.26861256614e+11
25,324(Ⅳ),1.08583911196e+12
26,324(Ⅴ),4.93238919778e+11
27,324(Ⅵ),6.16093368533e+11
28,324(Ⅶ),62428706017.6
29,324(Ⅷ),2.86844922692e+11
30,324(Ⅸ),5.32236075237e+11
31,324(Ⅹ),1.21853773784e+11
32,324(ⅩⅠ),1.87435312556e+11
33,324(ⅩⅡ),2.7264450476e+11
34,324(ⅩⅢ),1.20992894831e+11
35,324(ⅩⅣ),2.21522989415e+11
36,324(ⅩⅤ),2.19995413862e+11
