,D,norm
0,1,4.08954510152e+15
1,3,3.28889909036e+13
2,4,1.26593487874e+13
3,9,1.17244090334e+14
4,12,6.63241473027e+13
5,27(Ⅰ),9.32596712145e+13
6,27(Ⅱ),8.89849661058e+13
7,27(Ⅲ),1.39735765026e+14
8,36(Ⅰ),4.89387422932e+14
9,36(Ⅱ),4.13630794511e+14
10,81(Ⅰ),2.04236687083e+14
11,81(Ⅱ),3.15108689221e+14
12,81(Ⅲ),2.82264500825e+14
13,81(Ⅳ),1.74214333878e+14
14,81(Ⅴ),2.43822620368e+14
15,81(Ⅵ),1.43558030624e+14
16,108(Ⅰ),4.6746594769e+14
17,108(Ⅱ),1.82772094373e+14
18,108(Ⅲ),8.65429897282e+13
19,108(Ⅳ),1.65352214994e+14
20,108(Ⅴ),1.3751251949e+14
21,108(Ⅵ),1.10309876941e+14
22,324(Ⅰ),1.16993175649e+15
23,324(Ⅱ),1.79452401238e+14
24,324(Ⅲ),1.01528658501e+14
25,324(Ⅳ),3.49867578523e+14
26,324(Ⅴ),1.87566804688e+14
27,324(Ⅵ),3.61743886267e+14
28,324(Ⅶ),1.01034717493e+14
29,324(Ⅷ),2.28026367686e+14
30,324(Ⅸ),2.60750928068e+14
31,324(Ⅹ),1.77057413445e+14
32,324(ⅩⅠ),2.76617166061e+14
33,324(ⅩⅡ),2.46982463068e+14
34,324(ⅩⅢ),1.92067659302e+14
35,324(ⅩⅣ),1.98797684898e+14
36,324(ⅩⅤ),2.15802933699e+14
