x,y,pop
0,0,14962.0
1,0,80217.0
2,0,55021.0
3,0,49506.0
4,0,806631.0
5,0,0.0
6,0,43045.0
7,0,0.0
8,0,77159.0
9,0,41959.0
10,0,64713.0
11,0,61213.0
12,0,7634.0
13,0,9098.0
14,0,0.0
15,0,56803.0
16,0,479882.0
17,0,29679.0
0,1,69693.0
1,1,170472.0
2,1,44579.0
3,1,0.0
4,1,381404.0
5,1,0.0
6,1,41835.0
7,1,28800.0
8,1,56876.0
9,1,0.0
10,1,35812.0
11,1,14843.0
12,1,14363.0
13,1,14465.0
14,1,48404.0
15,1,141306.0
16,1,0.0
17,1,0.0
0,2,193674.0
1,2,0.0
2,2,117682.0
3,2,40360.0
4,2,67671.0
5,2,574702.0
6,2,163820.0
7,2,136554.0
8,2,43918.0
9,2,0.0
10,2,150381.0
11,2,85818.0
12,2,0.0
13,2,39590.0
14,2,69461.0
15,2,43328.0
16,2,0.0
17,2,134086.0
0,3,38146.0
1,3,61915.0
2,3,302623.0
3,3,48995.0
4,3,0.0
5,3,25384.0
6,3,156096.0
7,3,0.0
8,3,39128.0
9,3,1231393.0
10,3,0.0
11,3,169390.0
12,3,36516.0
13,3,0.0
14,3,15543.0
15,3,91224.0
16,3,208187.0
17,3,0.0
0,4,16658.0
1,4,0.0
2,4,32776.0
3,4,145484.0
4,4,117074.0
5,4,21179.0
6,4,40831.0
7,4,48951.0
8,4,45507.0
9,4,53776.0
10,4,189113.0
11,4,96319.0
12,4,0.0
13,4,136686.0
14,4,0.0
15,4,28187.0
16,4,30112.0
17,4,1400647.0
0,5,8352.0
1,5,183074.0
2,5,19923.0
3,5,82982.0
4,5,1002812.0
5,5,40263.0
6,5,0.0
7,5,45841.0
8,5,0.0
9,5,31796.0
10,5,65720.0
11,5,0.0
12,5,121942.0
13,5,168572.0
14,5,375736.0
15,5,0.0
16,5,105686.0
17,5,0.0
0,6,8700.0
1,6,0.0
2,6,24453.0
3,6,38438.0
4,6,68206.0
5,6,36706.0
6,6,34791.0
7,6,28462.0
8,6,105040.0
9,6,0.0
10,6,97690.0
11,6,42480.0
12,6,0.0
13,6,0.0
14,6,176029.0
15,6,541943.0
16,6,395086.0
17,6,88771.0
0,7,0.0
1,7,14156.0
2,7,33475.0
3,7,12967.0
4,7,20500.0
5,7,0.0
6,7,33403.0
7,7,365918.0
8,7,18989.0
9,7,62108.0
10,7,129590.0
11,7,55669.0
12,7,58714.0
13,7,75828.0
14,7,0.0
15,7,1259828.0
16,7,0.0
17,7,426834.0
0,8,111375.0
1,8,0.0
2,8,0.0
3,8,23074.0
4,8,47107.0
5,8,78564.0
6,8,47618.0
7,8,42383.0
8,8,38510.0
9,8,37291.0
10,8,0.0
11,8,0.0
12,8,41154.0
13,8,60179.0
14,8,304216.0
15,8,0.0
16,8,94295.0
17,8,229230.0
0,9,806769.0
1,9,0.0
2,9,490228.0
3,9,167076.0
4,9,111444.0
5,9,267618.0
6,9,201971.0
7,9,38436.0
8,9,34308.0
9,9,0.0
10,9,42580.0
11,9,435286.0
12,9,276292.0
13,9,0.0
14,9,0.0
15,9,0.0
16,9,0.0
17,9,0.0
0,10,0.0
1,10,932708.0
2,10,5246456.0
3,10,0.0
4,10,0.0
5,10,155233.0
6,10,51608.0
7,10,60946.0
8,10,43545.0
9,10,45830.0
10,10,0.0
11,10,99047.0
12,10,149824.0
13,10,0.0
14,10,0.0
15,10,0.0
16,10,0.0
17,10,0.0
0,11,105462.0
1,11,527306.0
2,11,0.0
3,11,0.0
4,11,0.0
5,11,0.0
6,11,0.0
7,11,75199.0
8,11,258818.0
9,11,134878.0
10,11,0.0
11,11,159741.0
12,11,356874.0
13,11,1764804.0
14,11,401824.0
15,11,0.0
16,11,105672.0
17,11,0.0
0,12,342411.0
1,12,307283.0
2,12,705186.0
3,12,0.0
4,12,0.0
5,12,0.0
6,12,0.0
7,12,0.0
8,12,0.0
9,12,0.0
10,12,108579.0
11,12,284582.0
12,12,185596.0
13,12,0.0
14,12,1237868.0
15,12,860112.0
16,12,0.0
17,12,0.0
0,13,0.0
1,13,0.0
2,13,103527.0
3,13,168068.0
4,13,0.0
5,13,0.0
6,13,0.0
7,13,0.0
8,13,113847.0
9,13,59281.0
10,13,0.0
11,13,0.0
12,13,0.0
13,13,0.0
14,13,0.0
15,13,0.0
16,13,160078.0
17,13,129917.0
0,14,0.0
1,14,161188.0
2,14,0.0
3,14,0.0
4,14,195163.0
5,14,0.0
6,14,0.0
7,14,0.0
8,14,0.0
9,14,629237.0
10,14,64294.0
11,14,0.0
12,14,77297.0
13,14,68933.0
14,14,412895.0
15,14,88153.0
16,14,0.0
17,14,0.0
0,15,0.0
1,15,516284.0
2,15,84395.0
3,15,395118.0
4,15,956406.0
5,15,0.0
6,15,0.0
7,15,0.0
8,15,172344.0
9,15,0.0
10,15,0.0
11,15,62893.0
12,15,41665.0
13,15,0.0
14,15,195012.0
15,15,0.0
16,15,0.0
17,15,41587.0
0,16,0.0
1,16,0.0
2,16,0.0
3,16,88574.0
4,16,133251.0
5,16,87470.0
6,16,0.0
7,16,0.0
8,16,0.0
9,16,0.0
10,16,47900.0
11,16,0.0
12,16,70616.0
13,16,0.0
14,16,83427.0
15,16,0.0
16,16,54000.0
17,16,0.0
0,17,63379.0
1,17,0.0
2,17,56615.0
3,17,0.0
4,17,0.0
5,17,0.0
6,17,115290.0
7,17,0.0
8,17,0.0
9,17,26221.0
10,17,0.0
11,17,43186.0
12,17,0.0
13,17,0.0
14,17,0.0
15,17,106179.0
16,17,0.0
17,17,32065.0
