,D,norm
0,1,3.61130419337e+11
1,3,54087386649.1
2,4,12547459498.9
3,9,42560497606.3
4,12,31031491707.4
5,27(Ⅰ),29993977718.8
6,27(Ⅱ),54154767400.7
7,27(Ⅲ),59950686865.5
8,36(Ⅰ),28778474356.8
9,36(Ⅱ),92416233784.5
10,81(Ⅰ),24891235425.6
11,81(Ⅱ),17333672959.6
12,81(Ⅲ),69020784916.6
13,81(Ⅳ),80744609133.8
14,81(Ⅴ),86095224344.7
15,81(Ⅵ),59549104767.3
16,108(Ⅰ),45180913313.8
17,108(Ⅱ),35250405645.4
18,108(Ⅲ),55664838494.8
19,108(Ⅳ),43838984463.0
20,108(Ⅴ),97101284612.0
21,108(Ⅵ),99298230666.6
22,324(Ⅰ),62809927147.9
23,324(Ⅱ),58376363774.1
24,324(Ⅲ),80958472940.1
25,324(Ⅳ),1.61818407099e+11
26,324(Ⅴ),90803629432.5
27,324(Ⅵ),42101195464.4
28,324(Ⅶ),61127772716.7
29,324(Ⅷ),1.36634944436e+11
30,324(Ⅸ),83835550834.5
31,324(Ⅹ),1.1693290651e+11
32,324(ⅩⅠ),1.05176601483e+11
33,324(ⅩⅡ),54443070539.2
34,324(ⅩⅢ),1.14805463862e+11
35,324(ⅩⅣ),1.14426409918e+11
36,324(ⅩⅤ),39760082014.7
