1,3,4,9,12,27(Ⅰ),27(Ⅱ),27(Ⅲ),36(Ⅰ),36(Ⅱ),81(Ⅰ),81(Ⅱ),81(Ⅲ),81(Ⅳ),81(Ⅴ),81(Ⅵ),108(Ⅰ),108(Ⅱ),108(Ⅲ),108(Ⅳ),108(Ⅴ),108(Ⅵ),324(Ⅰ),324(Ⅱ),324(Ⅲ),324(Ⅳ),324(Ⅴ),324(Ⅵ),324(Ⅶ),324(Ⅷ),324(Ⅸ),324(Ⅹ),324(ⅩⅠ),324(ⅩⅡ),324(ⅩⅢ),324(ⅩⅣ),324(ⅩⅤ)
32177.8117284,-1929.52469136,876.447530864,9849.96296296,3654.45061728,-2701.70671947,8499.56036202,9102.56302412,11125.0987654,-8520.91358025,6700.74719742,841.024365508,3903.38584448,9343.8858152,11593.2690158,7872.77109498,1914.72376388,31239.9992225,21202.6566432,17689.7541346,12072.3143773,-7389.53147484,9770.85025617,-15913.7045596,-8001.74754839,33135.6761184,33418.9289821,5011.34448254,23330.944741,2714.39696007,-729.04678538,22169.3709852,30880.0802526,39080.3746392,12388.919916,-1757.47716836,16397.3387284
32177.8117284,6239.21604938,8166.02777778,18504.75,24102.537037,1667.85104031,-24805.2555053,448.71002058,15858.4722222,15841.5185185,8392.29784426,6033.12902478,-18041.2509431,4245.22045401,-26975.4291979,12902.9494846,2976.66366894,-16675.6560318,-20714.0168963,-6834.33980919,-20629.6635781,-19120.9595757,6504.54346361,-8830.76288216,-394.475025894,25806.5259923,22373.2151212,5962.6731475,1470.43301307,14477.0759439,859.911365001,-17775.8502921,-4902.475701,-25190.211354,-2737.62778928,-12439.9623428,-8943.59599269
32177.8117284,-4309.69135802,876.447530864,-12772.6759259,7331.39506173,-2008.04324935,12209.0647789,-4234.88264064,6748.38580247,-30051.6728395,7036.85236225,-1013.56625762,11971.6213028,387.649549035,26424.6550555,-15526.7953453,1776.5521596,-12526.3966434,13678.1685578,-8368.74505762,2181.23932331,-2706.95722866,2497.88116533,3559.91487306,-23257.8515939,18731.4504028,-8256.18511031,2367.9105389,-37505.4627324,-15055.3647561,-9815.29322596,17405.6976843,19837.2538153,-10499.1390592,5696.71790498,-4324.86431748,9336.91774403
32177.8117284,-1929.52469136,8166.02777778,9849.96296296,-11708.1666667,-15426.8498494,5914.99205327,10433.0244628,-7095.07407407,10026.2962963,3268.63875653,-8652.96250562,-22489.4910657,19319.9833796,13983.8067769,-5261.14200837,1090.844873,14872.7842551,-4919.74023917,22972.922519,-28901.1934699,-3302.11793804,-1765.87403345,-7826.26402891,4163.60102533,16950.1274282,-13531.3715909,-146.253743031,-3156.12746163,-18825.7918006,13400.2592927,-34122.7496547,6605.24292954,31561.9192414,-15125.7887535,-2255.2820735,-18316.4801103
32177.8117284,6239.21604938,876.447530864,18504.75,-10985.845679,-18072.2085863,3992.77385237,-16605.8430438,-11828.4475309,-6407.15432099,-1149.15394776,-4259.40169711,12263.3426819,869.39751326,-16248.8251546,-2518.60939571,3292.99400317,6003.24021474,-10910.308292,25463.7201445,316.246090232,-1799.72549398,-5772.45032946,-16262.5633503,-14985.1252091,15729.823806,7836.73350927,-932.25260287,11179.5845094,8329.48772632,11750.462055,37800.6041413,-16202.548577,-23361.0502604,23953.4752551,15289.389464,-2794.98680377
32177.8117284,-4309.69135802,8166.02777778,-12772.6759259,-12394.3703704,-344.224934022,-7986.64863342,15963.8457897,-2718.36111112,19111.9259259,-4149.39144599,4905.86220664,-18589.5077977,-15246.5781034,5815.94814349,11384.0003302,8995.30953092,-8252.44059459,24656.4181007,2573.59039198,-2146.5476488,21062.0313309,-9038.59549062,-1946.48844151,-13069.027179,7077.1214591,15237.5085403,-1427.71880938,9712.39884495,-11842.5604436,-6438.94622998,-10776.3440787,4511.68476119,5933.43123793,-36879.4493218,1460.89545425,-18416.2436366
32177.8117284,-1929.52469136,876.447530864,9849.96296296,3654.45061728,18128.5565688,-14414.5524153,-19535.5874869,11125.0987654,-8520.91358025,-4328.2292688,3695.36414755,4642.05030643,2603.62443365,14737.5418332,23844.9818813,16564.3162988,-18139.8179481,-21046.6742766,6222.04163639,-9278.24753042,-5733.36818004,-11170.3642073,1517.89024137,3144.06655855,-9889.12453789,-5749.81248558,-908.691271596,11227.5729242,-28151.2674562,-19316.15209,4234.39124376,-19404.5820539,1049.25691747,36986.1825541,5557.0222757,-14321.721946
32177.8117284,6239.21604938,8166.02777778,18504.75,24102.537037,16404.357546,20812.481653,16157.1330233,15858.4722222,15841.5185185,-1601.98721135,-5890.30132024,-8166.1466536,-7280.39607651,-40749.4355494,-46607.4831889,22760.2749015,34042.7892758,6588.70434113,19181.7277563,43397.5463948,37277.6517749,-11910.6337108,-14001.3507575,-23611.9321984,-25956.9806242,-21908.7940986,-602.842310748,-15107.2889969,1834.96775005,3789.52888038,-38306.3347994,-18362.3820434,-3543.97459553,-32046.255388,-18286.7709981,-9196.20610887
32177.8117284,-4309.69135802,876.447530864,-12772.6759259,7331.39506173,2352.26818339,-4222.41614546,-11728.963149,6748.38580247,-30051.6728395,2753.69576888,-8008.86994157,-7326.16841989,-14242.7869649,11418.469077,13909.3271472,24216.6802166,-15310.5738166,4785.96767412,5448.20783013,-1625.14418236,-3916.02661074,-11170.1165737,-12075.9536039,1167.5423998,-29911.2302549,-10089.0038388,-2758.97307299,3371.94857922,1841.32704045,11112.0872312,46923.3299218,-13133.515156,13237.9936711,23255.636949,-424.939754919,-19849.8002042
32177.8117284,-1929.52469136,8166.02777778,9849.96296296,-11708.1666667,-2701.70671947,8499.56036202,9102.56302412,-7095.07407407,10026.2962963,6700.74719742,841.024365508,3903.38584448,9343.8858152,11593.2690158,7872.77109498,19071.8555388,-7569.61884033,-15062.4866985,-5542.63918324,1311.99819467,29643.1409886,-9038.13009157,2774.60398094,-10040.816482,-19826.7519938,4628.5183897,-3988.36981882,-2734.21336546,-15936.5543512,-2885.38649262,-9913.28211425,-21139.5697142,-21944.9500087,-8614.044182,-2865.61153385,5029.4744444
