Name,Status,"Population
Estimate
1990-01-01","Population
Estimate
1995-01-01","Population
Estimate
2000-01-01","Population
Estimate
2005-01-01","Population
Estimate
2010-01-01","Population
Estimate
2015-01-01"
Huy,Arrondissement,93281,96821,100020,103565,107832,111839
Liège,Arrondissement,590153,592599,585678,588287,604062,618887
Verviers,Arrondissement,251917,260356,265546,270822,280203,285214
Waremme,Arrondissement,62862,65231,68198,71350,75588,78851
