Name,Native,Status,"Population
Census
2000-11-01","Population
Census
2010-11-01"
Hăinán Shĕng,海南省,Province,7559035,8671485
Hăikŏu Shì,海口市,Prefecture-level City,1508341,2046170
Hăinán Shĕngzhíxiáxiàn Jíxíngzhèng Qūhuà,海南省省直辖县级行政区划,directly administered,5567881,5939463
Sānshā Shì,三沙市,Prefecture-level City,517,444
Sānyà Shì,三亚市,Prefecture-level City,482296,685408
Hébĕi Shĕng,河北省,Province,66684419,71854210
Băodìng Shì,保定市,Prefecture-level City,10471123,11194382
Cāngzhōu Shì,沧州市,Prefecture-level City,6639501,7134062
Chéngdé Shì,承德市,Prefecture-level City,3324121,3473201
Hándān Shì,邯郸市,Prefecture-level City,8386814,9174683
Héngshuĭ Shì,衡水市,Prefecture-level City,4156913,4340773
Lángfāng Shì,廊坊市,Prefecture-level City,3833444,4358839
Qínhuángdăo Shì,秦皇岛市,Prefecture-level City,2753962,2987605
Shíjiāzhuāng Shì,石家庄市,Prefecture-level City,9241186,10163788
Tángshān Shì,唐山市,Prefecture-level City,7040554,7577289
Xíngtái Shì,邢台市,Prefecture-level City,6645766,7104103
Zhāngjiākŏu Shì,张家口市,Prefecture-level City,4191035,4345485
Hēilóngjiāng Shĕng,黑龙江省,Province,36237576,38313991
Dàqìng Shì,大庆市,Prefecture-level City,2578051,2904532
Dàxīng'ānlĭng Dìqū,大兴安岭地区,Prefecture,505842,511560
Hā'ĕrbīn Shì [Harbin],哈尔滨市,Sub-provincial City,9413359,10635971
Hègăng Shì,鹤岗市,Prefecture-level City,1099079,1058665
Hēihé Shì,黑河市,Prefecture-level City,1671811,1673899
Jiāmùsī Shì,佳木斯市,Prefecture-level City,2358310,2552097
Jīxī Shì,鸡西市,Prefecture-level City,1946057,1862165
Mŭdānjiāng Shì,牡丹江市,Prefecture-level City,2684495,2798723
Qíqíhā'ĕr Shì [Qiqihar],齐齐哈尔市,Prefecture-level City,5419621,5367003
Qītáihé Shì,七台河市,Prefecture-level City,807440,920471
Shuāngyāshān Shì,双鸭山市,Prefecture-level City,1448349,1462626
Suíhuà Shì,绥化市,Prefecture-level City,5055541,5418153
Yīchūn Shì,伊春市,Prefecture-level City,1249621,1148126
Hénán Shĕng,河南省,Province,91236854,94029939
Ānyáng Shì,安阳市,Prefecture-level City,5161106,5173188
Hèbì Shì,鹤壁市,Prefecture-level City,1401872,1569208
Jiāozuò Shì,焦作市,Prefecture-level City,3288816,3540101
Jìyuán Shì,济源市,City,626478,675757
Kāifēng Shì,开封市,Prefecture-level City,4586533,4676483
Luòhé Shì,漯河市,Prefecture-level City,2262404,2544266
Luòyáng Shì,洛阳市,Prefecture-level City,6227665,6549941
Nányáng Shì,南阳市,Prefecture-level City,9577771,10263660
Píngdĭngshān Shì,平顶山市,Prefecture-level City,4804924,4904701
Púyáng Shì,濮阳市,Prefecture-level City,3458332,3598740
Sānménxiá Shì,三门峡市,Prefecture-level City,2177428,2234018
Shāngqiū Shì,商丘市,Prefecture-level City,7753844,7362975
Xīnxiāng Shì,新乡市,Prefecture-level City,5407433,5708191
Xìnyáng Shì,信阳市,Prefecture-level City,6527368,6109106
Xŭchāng Shì,许昌市,Prefecture-level City,4124086,4307488
Zhèngzhōu Shì,郑州市,Prefecture-level City,6656759,8627089
Zhōukŏu Shì,周口市,Prefecture-level City,9741283,8953793
Zhùmădiàn Shì,驻马店市,Prefecture-level City,7452752,7231234
Húbĕi Shĕng,湖北省,Province,59508870,57237727
Ēnshī Tŭjiāzú Miáozú Zìzhìzhōu,恩施土家族苗族自治州,Tujia and Miao Autonomous Prefecture,3775190,3290294
Èzhōu Shì,鄂州市,Prefecture-level City,1023285,1048668
Huánggāng Shì,黄冈市,Prefecture-level City,7109047,6162069
Huángshí Shì,黄石市,Prefecture-level City,2477467,2429318
"Húbĕi Shĕngzhíxiáxiàn Jíxíngzhèng Qūhuà [Xiantao, Tianmen, Qianjiang & Shennongjia]",湖北省省直辖县级行政区划,directly administered,4158497,3616415
Jīngmén Shì,荆门市,Prefecture-level City,2970848,2873687
Jīngzhōu Shì,荆州市,Prefecture-level City,6279990,5691707
Shíyàn Shì,十堰市,Prefecture-level City,3415912,3340841
Suízhōu Shì,随州市,Prefecture-level City,2484688,2162222
Wŭhàn Shì,武汉市,Sub-provincial City,8312700,9785388
Xiāngyáng Shì [Xiangfan],襄阳市,Prefecture-level City,5658723,5500307
Xiánníng Shì,咸宁市,Prefecture-level City,2700678,2462583
Xiàogăn Shì,孝感市,Prefecture-level City,4992537,4814542
Yíchāng Shì,宜昌市,Prefecture-level City,4149308,4059686
Húnán Shĕng,湖南省,Province,63274173,65700762
Chángdé Shì,常德市,Prefecture-level City,5740875,5714623
Chángshā Shì,长沙市,Prefecture-level City,6138719,7040952
Chēnzhōu Shì,郴州市,Prefecture-level City,4324812,4583531
Héngyáng Shì,衡阳市,Prefecture-level City,6784891,7148344
Huáihuà Shì,怀化市,Prefecture-level City,4639738,4741673
Lóudĭ Shì,娄底市,Prefecture-level City,3783233,3784634
Shàoyáng Shì,邵阳市,Prefecture-level City,6963619,7071735
Xiāngtán Shì,湘潭市,Prefecture-level City,2672069,2752171
Xiāngxī Tŭjiāzú Miáozú Zìzhìzhōu,湘西土家族苗族自治州,Tujia and Miao Autonomous Prefecture,2463617,2549558
Yìyáng Shì,益阳市,Prefecture-level City,4309143,4307933
Yŏngzhōu Shì,永州市,Prefecture-level City,5367106,5194275
Yuèyáng Shì,岳阳市,Prefecture-level City,5011416,5476084
Zhāngjiājiè Shì,张家界市,Prefecture-level City,1493115,1478149
Zhūzhōu Shì,株洲市,Prefecture-level City,3581820,3857100
Jiāngsū Shĕng,江苏省,Province,73043577,78660941
Chángzhōu Shì,常州市,Prefecture-level City,3776270,4592431
Huái'ān Shì,淮安市,Prefecture-level City,5038231,4801662
Liányúngăng Shì,连云港市,Prefecture-level City,4569913,4393482
Nánjīng Shì,南京市,Sub-provincial City,6126165,8003744
Nántōng Shì,南通市,Prefecture-level City,7512919,7283622
Sùqiān Shì,宿迁市,Prefecture-level City,5061576,4719178
Sūzhōu Shì,苏州市,Prefecture-level City,6792239,10459890
Tàizhōu Shì,泰州市,Prefecture-level City,4785759,4618937
Wúxī Shì,无锡市,Prefecture-level City,5086586,6374399
Xúzhōu Shì,徐州市,Prefecture-level City,8913965,8577225
Yánchéng Shì,盐城市,Prefecture-level City,7946544,7262200
Yángzhōu Shì,扬州市,Prefecture-level City,4588554,4460066
Zhènjiāng Shì,镇江市,Prefecture-level City,2844856,3114105
Jiāngxī Shĕng,江西省,Province,40397598,44567797
Fŭzhōu Shì,抚州市,Prefecture-level City,3572421,3912307
Gànzhōu Shì,赣州市,Prefecture-level City,7396873,8368447
Jí'ān Shì,吉安市,Prefecture-level City,4360924,4810339
Jĭngdézhèn Shì,景德镇市,Prefecture-level City,1453367,1587477
Jiŭjiāng Shì,九江市,Prefecture-level City,4401248,4728778
Nánchāng Shì,南昌市,Prefecture-level City,4331668,5042566
Píngxiāng Shì,萍乡市,Prefecture-level City,1724732,1854515
Shàngráo Shì,上饶市,Prefecture-level City,5977678,6579747
Xīnyú Shì,新余市,Prefecture-level City,1071820,1138874
Yíchūn Shì,宜春市,Prefecture-level City,5079792,5419591
Yīngtán Shì,鹰潭市,Prefecture-level City,1027075,1125156
Jílín Shĕng,吉林省,Province,26802191,27452815
Báichéng Shì,白城市,Prefecture-level City,2025891,2032356
Báishān Shì,白山市,Prefecture-level City,1312362,1296127
Chángchūn Shì,长春市,Sub-provincial City,7135439,7674439
Jílín Shì,吉林市,Prefecture-level City,4485494,4413157
Liáoyuán Shì,辽源市,Prefecture-level City,1267033,1176239
Sìpíng Shì,四平市,Prefecture-level City,3292326,3385156
Sōngyuán Shì,松原市,Prefecture-level City,2766036,2880086
Tōnghuà Shì,通化市,Prefecture-level City,2307964,2324439
Yánbiāncháo Xiānzú Zìzhìzhōu,延边朝鲜族自治州,Korean Autonomous Prefecture,2209646,2270816
Liáoníng Shĕng,辽宁省,Province,41824412,43746323
Ānshān Shì,鞍山市,Prefecture-level City,3584039,3645884
Bĕnxī Shì,本溪市,Prefecture-level City,1567408,1709538
Cháoyáng Shì,朝阳市,Prefecture-level City,3194828,3044641
Dàlián Shì,大连市,Sub-provincial City,5893692,6690432
Dāndōng Shì,丹东市,Prefecture-level City,2390524,2444697
Fŭshùn Shì,抚顺市,Prefecture-level City,2260290,2138090
Fùxīn Shì,阜新市,Prefecture-level City,1889774,1819339
Húlúdăo Shì,葫芦岛市,Prefecture-level City,2580685,2623541
Jĭnzhōu Shì,锦州市,Prefecture-level City,3076735,3126463
Liáoyáng Shì,辽阳市,Prefecture-level City,1801207,1858768
Pánjĭn Shì,盘锦市,Prefecture-level City,1261753,1392493
Shĕnyáng Shì,沈阳市,Sub-provincial City,7203717,8106171
Tiĕlĭng Shì,铁岭市,Prefecture-level City,2823220,2717732
Yíngkŏu Shì,营口市,Prefecture-level City,2296540,2428534
Nèi mĕnggŭ Zìzhìqū [Inner Mongolia],内蒙古自治区,Province,23323347,24706291
Ālāshàn Méng [Alxa],阿拉善盟,League,196279,231334
Bāotóu Shì,包头市,Prefecture-level City,2254439,2650364
Bāyànnào'ĕr Shì [Bayan Nur],巴彦淖尔市,Prefecture-level City,1682662,1669915
Chìfēng Shì,赤峰市,Prefecture-level City,4435737,4341245
È'ĕrduōsī Shì [Ordos],鄂尔多斯市,Prefecture-level City,1369766,1940653
Hūhéhàotè Shì [Hohhot],呼和浩特市,Prefecture-level City,2392895,2866615
Hūlúnbèi'ĕr Shì [Hulunbuir],呼伦贝尔市,Prefecture-level City,2687228,2549252
Tōngliáo Shì,通辽市,Prefecture-level City,3028419,3139153
Wūhăi Shì,乌海市,Prefecture-level City,427553,532902
Wūlánchábù Shì [Ulanqab],乌兰察布市,Prefecture-level City,2284414,2143590
Xīlínguōlè Méng [Xilin Gol],锡林郭勒盟,League,975168,1028022
Xīng'ān Méng [Hinggan],兴安盟,League,1588787,1613246
Níngxià Huízú Zìzhìqū,宁夏回族自治区,Province,5486393,6301350
Gùyuán Shì,固原市,Prefecture-level City,1383401,1228156
Shízuĭshān Shì,石嘴山市,Prefecture-level City,675378,725482
Wúzhōng Shì,吴忠市,Prefecture-level City,1086407,1273792
Yínchuān Shì,银川市,Prefecture-level City,1427503,1993088
Zhōngwèi Shì,中卫市,Prefecture-level City,913704,1080832
Qīnghăi Shĕng,青海省,Province,4822963,5626723
Guŏluò Zàngzú Zìzhìzhōu [Golog],果洛藏族自治州,Tibetan Autonomous Prefecture,137940,181682
Hăibĕi Zàngzú Zìzhìzhōu,海北藏族自治州,Tibetan Autonomous Prefecture,258922,273304
Hăidōng Shì [← Hăidōng Dìqū],海东市,Prefecture-level City,1391565,1396845
Hăinán Zàngzú Zìzhìzhōu,海南藏族自治州,Tibetan Autonomous Prefecture,375426,441691
Hăixī Mĕnggŭzú Zàngzú Zìzhìzhōu,海西蒙古族藏族自治州,Mongol and Tibetan Autonomous Prefecture,332094,489338
Huángnán Zàngzú Zìzhìzhōu,黄南藏族自治州,Tibetan Autonomous Prefecture,214642,256716
Xīníng Shì,西宁市,Prefecture-level City,1849713,2208708
Yùshù Zàngzú Zìzhìzhōu,玉树藏族自治州,Tibetan Autonomous Prefecture,262661,378439
Shănxī Shĕng [Shaanxi],陕西省,Province,35365072,37327379
Ānkāng Shì,安康市,Prefecture-level City,2613914,2629906
Băojī Shì,宝鸡市,Prefecture-level City,3594215,3716737
Hànzhōng Shì,汉中市,Prefecture-level City,3411044,3416196
Shāngluò Shì,商洛市,Prefecture-level City,2345437,2341742
Tóngchuān Shì,铜川市,Prefecture-level City,792600,834437
Wèinán Shì,渭南市,Prefecture-level City,5292200,5286077
Xī'ān Shì,西安市,Sub-provincial City,7274832,8467838
Xiányáng Shì,咸阳市,Prefecture-level City,4886003,5096001
Yán'ān Shì,延安市,Prefecture-level City,2016787,2187009
Yúlín Shì,榆林市,Prefecture-level City,3138040,3351436
Shāndōng Shĕng,山东省,Province,89971789,95792719
Bīnzhōu Shì,滨州市,Prefecture-level City,3563921,3748474
Dézhōu Shì,德州市,Prefecture-level City,5293674,5568235
Dōngyíng Shì,东营市,Prefecture-level City,1793171,2035338
Hézé Shì,菏泽市,Prefecture-level City,8097973,8287693
Jìnán Shì,济南市,Sub-provincial City,5921891,6813984
Jìníng Shì,济宁市,Prefecture-level City,7740281,8081905
Láiwú Shì,莱芜市,Prefecture-level City,1233525,1298529
Liáochéng Shì,聊城市,Prefecture-level City,5412115,5789863
Línyí Shì,临沂市,Prefecture-level City,9942652,10039440
Qīngdăo Shì,青岛市,Sub-provincial City,7494194,8715087
Rìzhào Shì,日照市,Prefecture-level City,2685928,2801013
Tài'ān Shì,泰安市,Prefecture-level City,5334631,5494207
Wéifāng Shì,潍坊市,Prefecture-level City,8495300,9086241
Wēihăi Shì,威海市,Prefecture-level City,2596753,2804771
Yāntái Shì,烟台市,Prefecture-level City,6635735,6968202
