,D,norm
0,1,7.66740710339e+13
1,3,1.00677690399e+12
2,4,3.676636316e+12
3,9,4.99298948226e+12
4,12,1.39327594787e+13
5,27(Ⅰ),3.8021539782e+13
6,27(Ⅱ),7.24930039509e+12
7,27(Ⅲ),8.77561632586e+12
8,36(Ⅰ),6.37781176553e+13
9,36(Ⅱ),1.39405438449e+13
10,81(Ⅰ),1.86123918595e+14
11,81(Ⅱ),2.2249222267e+13
12,81(Ⅲ),6.76197895058e+12
13,81(Ⅳ),2.45091023593e+13
14,81(Ⅴ),1.48161000857e+13
15,81(Ⅵ),8.91575708126e+12
16,108(Ⅰ),2.33324612043e+14
17,108(Ⅱ),3.21759582218e+12
18,108(Ⅲ),4.53539128539e+12
19,108(Ⅳ),3.07326199194e+13
20,108(Ⅴ),1.6000237064e+13
21,108(Ⅵ),1.36030236641e+13
22,324(Ⅰ),3.67154783756e+14
23,324(Ⅱ),1.06248734543e+13
24,324(Ⅲ),4.91591121493e+12
25,324(Ⅳ),1.92192234323e+14
26,324(Ⅴ),6.51687625403e+13
27,324(Ⅵ),3.81300462032e+13
28,324(Ⅶ),1.96740518761e+13
29,324(Ⅷ),1.62785543379e+13
30,324(Ⅸ),1.48929804216e+13
31,324(Ⅹ),1.03326189257e+13
32,324(ⅩⅠ),1.09875384913e+13
33,324(ⅩⅡ),6.10787304995e+12
34,324(ⅩⅢ),1.67446058924e+13
35,324(ⅩⅣ),1.43754487725e+13
36,324(ⅩⅤ),1.59672994346e+13
