,D,norm
0,1,8.54767739832e+11
1,3,12328516973.9
2,4,30629028760.6
3,9,50587360355.8
4,12,1.09024524835e+11
5,27(Ⅰ),1.53363867642e+11
6,27(Ⅱ),25998155294.1
7,27(Ⅲ),43321586901.7
8,36(Ⅰ),1.13582205306e+11
9,36(Ⅱ),2.27306768342e+11
10,81(Ⅰ),2.08985443625e+11
11,81(Ⅱ),1.59784271938e+11
12,81(Ⅲ),20859425532.3
13,81(Ⅳ),1.77366447156e+11
14,81(Ⅴ),1.68175219986e+11
15,81(Ⅵ),1.25451486854e+11
16,108(Ⅰ),2.97440647615e+11
17,108(Ⅱ),1.35361083575e+11
18,108(Ⅲ),60226349546.6
19,108(Ⅳ),1.63604751711e+11
20,108(Ⅴ),1.25839478392e+11
21,108(Ⅵ),1.46910500982e+11
22,324(Ⅰ),3.6485894279e+11
23,324(Ⅱ),1.88717534282e+11
24,324(Ⅲ),55146005387.0
25,324(Ⅳ),6.82162020137e+11
26,324(Ⅴ),2.31126785222e+11
27,324(Ⅵ),1.94945584585e+11
28,324(Ⅶ),1.10523417552e+11
29,324(Ⅷ),1.75986381549e+11
30,324(Ⅸ),1.11027091086e+11
31,324(Ⅹ),71018908536.5
32,324(ⅩⅠ),1.33522247335e+11
33,324(ⅩⅡ),1.90859045269e+11
34,324(ⅩⅢ),82194241594.2
35,324(ⅩⅣ),94640862017.3
36,324(ⅩⅤ),77157703750.0
