,D,norm
0,1,92935317736.4
1,3,43057534271.2
2,4,19977963250.3
3,9,1.59777929492e+11
4,12,1.11725886161e+11
5,27(Ⅰ),98669449273.4
6,27(Ⅱ),1.54307727418e+11
7,27(Ⅲ),1.66850390217e+11
8,36(Ⅰ),1.26930281324e+11
9,36(Ⅱ),1.45447655199e+11
10,81(Ⅰ),60656728423.6
11,81(Ⅱ),77427006011.0
12,81(Ⅲ),64360586612.8
13,81(Ⅳ),2.20894812999e+11
14,81(Ⅴ),2.39360767787e+11
15,81(Ⅵ),1.71522287694e+11
16,108(Ⅰ),31822141626.4
17,108(Ⅱ),64292118158.9
18,108(Ⅲ),1.79064081186e+11
19,108(Ⅳ),2.33959125536e+11
20,108(Ⅴ),2.27799823791e+11
21,108(Ⅵ),2.09809959273e+11
22,324(Ⅰ),96341370733.5
23,324(Ⅱ),93600555130.1
24,324(Ⅲ),1.14958517338e+11
25,324(Ⅳ),2.78226768894e+11
26,324(Ⅴ),3.27814899072e+11
27,324(Ⅵ),2.34534240908e+11
28,324(Ⅶ),1.76586848502e+11
29,324(Ⅷ),1.95471491298e+11
30,324(Ⅸ),3.05818335863e+11
31,324(Ⅹ),2.7181296905e+11
32,324(ⅩⅠ),2.22108445104e+11
33,324(ⅩⅡ),2.681095355e+11
34,324(ⅩⅢ),2.41086839813e+11
35,324(ⅩⅣ),1.36699944849e+11
36,324(ⅩⅤ),3.35461816246e+11
