,D,norm
0,1,4.15728470591e+12
1,3,12985732004.7
2,4,62018197459.6
3,9,54672648434.4
4,12,3.14287779723e+11
5,27(Ⅰ),1.67882415642e+11
6,27(Ⅱ),36314674568.6
7,27(Ⅲ),82000978335.8
8,36(Ⅰ),1.43674239608e+11
9,36(Ⅱ),3.67248776891e+11
10,81(Ⅰ),3.04632816905e+11
11,81(Ⅱ),1.77063929306e+11
12,81(Ⅲ),86250877310.0
13,81(Ⅳ),3.11238495002e+11
14,81(Ⅴ),1.91958171339e+11
15,81(Ⅵ),1.76528738921e+11
16,108(Ⅰ),1.75017171272e+11
17,108(Ⅱ),1.44773367794e+11
18,108(Ⅲ),75386786029.4
19,108(Ⅳ),3.25183399231e+11
20,108(Ⅴ),2.32740529113e+11
21,108(Ⅵ),3.4956361447e+11
22,324(Ⅰ),7.72264866986e+11
23,324(Ⅱ),1.71967402771e+11
24,324(Ⅲ),2.49822083444e+11
25,324(Ⅳ),1.1145013527e+12
26,324(Ⅴ),1.16369610466e+11
27,324(Ⅵ),2.32804221667e+11
28,324(Ⅶ),2.04840938078e+11
29,324(Ⅷ),2.61421234769e+11
30,324(Ⅸ),6.30454958416e+11
31,324(Ⅹ),2.82035638064e+11
32,324(ⅩⅠ),2.50661425411e+11
33,324(ⅩⅡ),3.85780527097e+11
34,324(ⅩⅢ),2.33814431615e+11
35,324(ⅩⅣ),1.87678141419e+11
36,324(ⅩⅤ),1.74332661357e+11
