,D,norm
0,1,4.42524258161e+12
1,3,1.23500761454e+11
2,4,6.31419773825e+11
3,9,9.61903720333e+11
4,12,4.16878455925e+11
5,27(Ⅰ),2.05808734799e+11
6,27(Ⅱ),7.54581766605e+11
7,27(Ⅲ),9.89219949893e+11
8,36(Ⅰ),4.03451266884e+11
9,36(Ⅱ),1.50640258508e+12
10,81(Ⅰ),8.07647444116e+11
11,81(Ⅱ),5.29921199014e+11
12,81(Ⅲ),8.53970012082e+11
13,81(Ⅳ),1.32639430685e+12
14,81(Ⅴ),1.90685160012e+12
15,81(Ⅵ),1.36268170525e+12
16,108(Ⅰ),1.6329073728e+12
17,108(Ⅱ),6.57529350326e+11
18,108(Ⅲ),5.59624869096e+11
19,108(Ⅳ),1.54692052087e+12
20,108(Ⅴ),1.36050326411e+12
21,108(Ⅵ),1.38884906688e+12
22,324(Ⅰ),1.31642836606e+12
23,324(Ⅱ),3.0999649782e+11
24,324(Ⅲ),1.32516333693e+12
25,324(Ⅳ),2.98969436018e+12
26,324(Ⅴ),1.24086995291e+12
27,324(Ⅵ),1.5395345074e+12
28,324(Ⅶ),1.17148040715e+12
29,324(Ⅷ),7.07772509138e+11
30,324(Ⅸ),1.65151167353e+12
31,324(Ⅹ),1.78598992976e+12
32,324(ⅩⅠ),1.37897551974e+12
33,324(ⅩⅡ),1.05248364517e+12
34,324(ⅩⅢ),1.41969086234e+12
35,324(ⅩⅣ),1.37575392082e+12
36,324(ⅩⅤ),2.01514446402e+12
