,name,pop,lat,lon,
72,"Nánníng Shì, Guăngxī Zhuàngzú Zìzhìqū",6658742,22.8325591,108.3027168,
73,"Qīnzhōu Shì, Guăngxī Zhuàngzú Zìzhìqū",3079721,22.1430054,108.865923702,
74,"Wúzhōu Shì, Guăngxī Zhuàngzú Zìzhìqū",2882200,23.4977795,111.029290872,
75,"Yùlín Shì, Guăngxī Zhuàngzú Zìzhìqū",5487368,22.6354097,110.1498186,
76,"Ānshùn Shì, Guìzhōu Shĕng",2297612,25.99077865,105.779825094,
77,"Bìjié Shì, Guìzhōu Shĕng",6537498,27.0713514,105.033170617,
78,"Guìyáng Shì, Guìzhōu Shĕng",4322611,26.5814112,106.7052544,
79,"Liùpánshuĭ Shì, Guìzhōu Shĕng",2851332,26.12750465,104.759038287,
80,"Qiándōngnán Miáozú Dòngzú Zìzhìzhōu, Guìzhōu Shĕng",3481891,26.4170799,108.414400852,
81,"Qiánnán Bùyīzú Miáozú Zìzhìzhōu, Guìzhōu Shĕng",3232714,26.28443185,107.261221825,
82,"Qiánxīnán Bùyīzú Miáozú Zìzhìzhōu, Guìzhōu Shĕng",2804612,25.39923765,105.534377647,
83,"Tóngrén Shì, Guìzhōu Shĕng",3093204,27.952938,108.584018,
84,"Zūnyì Shì, Guìzhōu Shĕng",6127082,28.1836934,106.831699002,
85,"Hăikŏu Shì, Hăinán Shĕng",2046170,19.82089215,110.449561344,
86,Hăinán Shĕngzhíxiáxiàn Jíxíngzhèng Qūhuà,5939463,19.2916105,109.7776863,
87,"Sānshā Shì, Hăinán Shĕng",444,16.8331181,112.3342614,
88,"Sānyà Shì, Hăinán Shĕng",685408,18.2571618,109.5028518,
89,"Băodìng Shì, Hébĕi Shĕng",11194382,39.09109015,115.334623873,
90,"Cāngzhōu Shì, Hébĕi Shĕng",7134062,38.21211485,116.838327521,
91,"Chéngdé Shì, Hébĕi Shĕng",3473201,41.3994903,117.18299518,
92,"Hándān Shì, Hébĕi Shĕng",9174683,36.583333,114.483333,
93,"Héngshuĭ Shì, Hébĕi Shĕng",4340773,37.732222,115.701111,
94,"Lángfāng Shì, Hébĕi Shĕng",4358839,39.04725815,116.541827654,
95,"Qínhuángdăo Shì, Hébĕi Shĕng",2987605,40.0140824,119.356698698,
96,"Shíjiāzhuāng Shì, Hébĕi Shĕng",10163788,38.10071215,114.600869097,
97,"Tángshān Shì, Hébĕi Shĕng",7577289,39.633333,118.183333,
98,"Xíngtái Shì, Hébĕi Shĕng",7104103,37.2826735,114.754425987,
99,"Zhāngjiākŏu Shì, Hébĕi Shĕng",4345485,40.8522392,115.226232145,
100,"Dàqìng Shì, Hēilóngjiāng Shĕng",2904532,46.42528165,124.410452454,
101,"Dàxīng'ānlĭng Dìqū, Hēilóngjiāng Shĕng",511560,52.23268125,124.536575109,
102,"Hā'ĕrbīn Shì, Hēilóngjiāng Shĕng",10635971,45.36752315,127.405990236,
103,"Hègăng Shì, Hēilóngjiāng Shĕng",1058665,47.3355856,130.2836718,
104,"Hēihé Shì, Hēilóngjiāng Shĕng",1673899,49.2933316,127.196067282,
105,"Jiāmùsī Shì, Hēilóngjiāng Shĕng",2552097,46.8087794,130.3734556,
106,"Jīxī Shì, Hēilóngjiāng Shĕng",1862165,45.72847515,132.449117348,
107,"Mŭdānjiāng Shì, Hēilóngjiāng Shĕng",2798723,44.69744865,129.923536096,
108,"Qíqíhā'ĕr Shì, Hēilóngjiāng Shĕng",5367003,47.5674553,124.584310442,
