,name,pop,
96,"Shíjiāzhuāng Shì, Hébĕi Shĕng",10163788,
97,"Tángshān Shì, Hébĕi Shĕng",7577289,
98,"Xíngtái Shì, Hébĕi Shĕng",7104103,
99,"Zhāngjiākŏu Shì, Hébĕi Shĕng",4345485,
100,"Dàqìng Shì, Hēilóngjiāng Shĕng",2904532,
101,"Dàxīng'ānlĭng Dìqū, Hēilóngjiāng Shĕng",511560,
102,"Hā'ĕrbīn Shì, Hēilóngjiāng Shĕng",10635971,
103,"Hègăng Shì, Hēilóngjiāng Shĕng",1058665,
104,"Hēihé Shì, Hēilóngjiāng Shĕng",1673899,
105,"Jiāmùsī Shì, Hēilóngjiāng Shĕng",2552097,
106,"Jīxī Shì, Hēilóngjiāng Shĕng",1862165,
107,"Mŭdānjiāng Shì, Hēilóngjiāng Shĕng",2798723,
108,"Qíqíhā'ĕr Shì, Hēilóngjiāng Shĕng",5367003,
109,"Qītáihé Shì, Hēilóngjiāng Shĕng",920471,
110,"Shuāngyāshān Shì, Hēilóngjiāng Shĕng",1462626,
111,"Suíhuà Shì, Hēilóngjiāng Shĕng",5418153,
112,"Yīchūn Shì, Hēilóngjiāng Shĕng",1148126,
113,"Ānyáng Shì, Hénán Shĕng",5173188,
114,"Hèbì Shì, Hénán Shĕng",1569208,
115,"Jiāozuò Shì, Hénán Shĕng",3540101,
116,"Jìyuán Shì, Hénán Shĕng",675757,
117,"Kāifēng Shì, Hénán Shĕng",4676483,
118,"Luòhé Shì, Hénán Shĕng",2544266,
119,"Luòyáng Shì, Hénán Shĕng",6549941,
120,"Nányáng Shì, Hénán Shĕng",10263660,
121,"Píngdĭngshān Shì, Hénán Shĕng",4904701,
122,"Púyáng Shì, Hénán Shĕng",3598740,
123,"Sānménxiá Shì, Hénán Shĕng",2234018,
124,"Shāngqiū Shì, Hénán Shĕng",7362975,
125,"Xīnxiāng Shì, Hénán Shĕng",5708191,
126,"Xìnyáng Shì, Hénán Shĕng",6109106,
