,D,norm
0,1,2.74454131519e+12
1,3,1.47490466177e+11
2,4,91156405399.9
3,9,2.87401228296e+11
4,12,2.45367485859e+11
5,27(Ⅰ),7.65022093021e+11
6,27(Ⅱ),1.57197935334e+11
7,27(Ⅲ),8068393502.89
8,36(Ⅰ),3.23565306544e+11
9,36(Ⅱ),8.9178279694e+11
10,81(Ⅰ),1.8376325814e+11
11,81(Ⅱ),1.93972415949e+11
12,81(Ⅲ),5.08417189149e+11
13,81(Ⅳ),4.10656359365e+11
14,81(Ⅴ),6.35743736558e+11
15,81(Ⅵ),9.99848102555e+11
16,108(Ⅰ),2.43277507487e+11
17,108(Ⅱ),1.58148914065e+11
18,108(Ⅲ),1.28030871849e+11
19,108(Ⅳ),5.31184398666e+11
20,108(Ⅴ),8.53741867601e+11
21,108(Ⅵ),3.31272976681e+11
22,324(Ⅰ),4.44254753861e+11
23,324(Ⅱ),2.50830309553e+11
24,324(Ⅲ),30367579387.2
25,324(Ⅳ),2.00542026069e+12
26,324(Ⅴ),1.01931737606e+12
27,324(Ⅵ),5.7344009588e+11
28,324(Ⅶ),4.61242539149e+11
29,324(Ⅷ),5.76678169599e+11
30,324(Ⅸ),6.29946764363e+11
31,324(Ⅹ),3.35230853684e+11
32,324(ⅩⅠ),2.31474067137e+11
33,324(ⅩⅡ),3.20965005015e+11
34,324(ⅩⅢ),3.72585977652e+11
35,324(ⅩⅣ),5.45197890133e+11
36,324(ⅩⅤ),2.83329341789e+11
