,name,pop
161,"Châteauroux, Indre",130115
162,"Issoudun, Indre",34852
163,"La Châtre, Indre",33275
164,"Le Blanc, Indre",32897
165,"Chinon, Indre-et-Loire",80579
166,"Loches, Indre-et-Loire",48773
167,"Tours, Indre-et-Loire",424651
168,"Grenoble, Isère",696326
169,"La Tour-du-Pin, Isère",212987
170,"Vienne, Isère",184693
171,"Dole, Jura",78388
172,"Lons-le-Saunier, Jura",121063
173,"Saint-Claude, Jura",51406
174,"Dax, Landes",174367
175,"Mont-de-Marsan, Landes",152967
176,"Montbrison, Loire",160289
177,"Roanne, Loire",152659
178,"Saint-Étienne, Loire",415576
179,"Ancenis, Loire-Atlantique",48720
180,"Châteaubriant, Loire-Atlantique",102392
181,"Nantes, Loire-Atlantique",715358
182,"Saint-Nazaire, Loire-Atlantique",267796
183,"Montargis, Loiret",158426
184,"Orléans, Loiret",402580
185,"Pithiviers, Loiret",57120
186,"Blois, Loir-et-Cher",160506
187,"Romorantin-Lanthenay, Loir-et-Cher",86448
188,"Vendôme, Loir-et-Cher",68014
189,"Cahors, Lot",69887
190,"Figeac, Lot",50095
191,"Gourdon, Lot",40215
192,"Agen, Lot-et-Garonne",105380
193,"Marmande, Lot-et-Garonne",76169
194,"Nérac, Lot-et-Garonne",36981
195,"Villeneuve-sur-Lot, Lot-et-Garonne",86850
196,"Florac, Lozère",12524
197,"Mende, Lozère",60985
198,"Angers, Maine-et-Loire",367131
199,"Cholet, Maine-et-Loire",183478
200,"Saumur, Maine-et-Loire",129222
201,"Segré, Maine-et-Loire",53111
202,"Avranches, Manche",117431
203,"Cherbourg-Octeville, Manche",190973
204,"Coutances, Manche",76861
205,"Saint-Lô, Manche",96206
206,"Châlons-en-Champagne, Marne",100112
207,"Épernay, Marne",109827
208,"Reims, Marne",291933
209,"Sainte-Menehould, Marne",14313
210,"Vitry-le-François, Marne",49044
211,"Château-Gontier, Mayenne",58152
212,"Laval, Mayenne",140207
213,"Mayenne, Mayenne",86979
214,"Briey, Meurthe-et-Moselle",157050
215,"Lunéville, Meurthe-et-Moselle",76782
216,"Nancy, Meurthe-et-Moselle",415106
217,"Toul, Meurthe-et-Moselle",64841
