Name,Status,"Population
Census
1990-04-01","Population
Census
2000-04-01","Population
Census
2010-04-01","Population
Estimate
2014-07-01"
Little River,County,13966,13628,13168,12532
Logan,County,20557,22480,22353,21958
Lonoke,County,39268,52849,68354,71557
Madison,County,11618,14228,15720,15740
Marion,County,12001,16147,16653,16367
Miller,County,38467,40455,43462,43428
Mississippi,County,57525,51999,46480,44235
Monroe,County,11333,10255,8150,7582
Montgomery,County,7841,9222,9487,9082
Nevada,County,10101,9940,8997,8723
Newton,County,7666,8603,8330,7904
Ouachita,County,30574,28776,26121,24828
Perry,County,7969,10199,10441,10245
Phillips,County,28830,26438,21757,19930
Pike,County,10086,11301,11291,11024
Poinsett,County,24664,25617,24583,24246
Polk,County,17347,20234,20662,20225
Pope,County,45883,54492,61754,63201
Prairie,County,9518,9523,8715,8304
Pulaski,County,349569,361370,382796,392702
Randolph,County,16558,18191,17969,17571
Saline,County,64183,83559,107118,115719
Scott,County,10205,10986,11233,10693
Searcy,County,7841,8240,8195,7929
Sebastian,County,99590,115101,125744,126776
Sevier,County,13637,15750,17058,17426
Sharp,County,14109,17120,17267,16906
St. Francis,County,28497,29330,28258,26899
Stone,County,9775,11496,12394,12494
Union,County,46719,45633,41639,40227
Van Buren,County,14008,16182,17294,16851
Washington,County,113409,157805,203060,220792
White,County,54676,67164,77076,78592
Woodruff,County,9520,8738,7264,6910
Yell,County,17759,21127,22185,21951
California,Federal State,29811427,33871653,37254503,38802500
Alameda,County,1304347,1443705,1510261,1610921
Alpine,County,1113,1206,1175,1116
Amador,County,30039,35101,38091,36742
Butte,County,182120,203125,220000,224241
Calaveras,County,31998,40535,45578,44624
Colusa,County,16275,18799,21419,21419
Contra Costa,County,803731,948865,1049197,1111339
Del Norte,County,23460,27505,28610,27212
El Dorado,County,125995,156314,181057,183087
Fresno,County,667479,798766,930452,965974
Glenn,County,24798,26432,28122,27955
Humboldt,County,119118,126508,134623,134809
Imperial,County,109303,142334,174528,179091
Inyo,County,18281,17955,18546,18410
Kern,County,544981,661632,839631,874589
Kings,County,101469,129470,152982,150269
Lake,County,50631,58331,64665,64184
Lassen,County,27598,33828,34895,31749
Los Angeles,County,8863052,9519315,9818664,10116705
Madera,County,88090,123179,150865,154548
Marin,County,230096,247301,252409,260750
Mariposa,County,14302,17112,18250,17682
Mendocino,County,80345,86253,87840,87869
Merced,County,178403,211178,255798,266353
Modoc,County,9678,9431,9686,9023
Mono,County,9956,12839,14202,13997
Monterey,County,355660,401752,415057,431344
Napa,County,110765,124344,136530,141667
Nevada,County,78510,92055,98748,98893
Orange,County,2410668,2846282,3010269,3145515
Placer,County,172796,248270,348494,371694
Plumas,County,19739,20817,20007,18606
Riverside,County,1170413,1545320,2189757,2329271
Sacramento,County,1066789,1223578,1418742,1482026
San Benito,County,36697,53214,55269,58267
San Bernardino,County,1418380,1709479,2035215,2112619
San Diego,County,2498016,2813839,3095308,3263431
San Francisco,County,723959,776764,805195,852469
San Joaquin,County,480628,563660,685308,715597
San Luis Obispo,County,217162,246746,269593,279083
San Mateo,County,649623,707099,718498,758581
Santa Barbara,County,369608,399293,423939,440668
Santa Clara,County,1497577,1682781,1781672,1894605
Santa Cruz,County,229734,255614,262362,271804
Shasta,County,147036,163242,177223,179804
Sierra,County,3318,3559,3240,3003
Siskiyou,County,43531,44305,44900,43628
Solano,County,339469,394495,413344,431131
Sonoma,County,388222,458586,483880,500292
Stanislaus,County,370522,446850,514451,531997
Sutter,County,64409,78947,94737,95847
Tehama,County,49625,56060,63461,63067
Trinity,County,13063,13011,13786,13170
Tulare,County,311932,368011,442182,458198
Tuolumne,County,48456,54522,55365,53831
Ventura,County,669016,753230,823420,846178
Yolo,County,141212,168660,200850,207590
Yuba,County,58234,60249,72155,73966
Colorado,Federal State,3294473,4302086,5029324,5355866
Adams,County,265038,348076,441687,480718
Alamosa,County,13617,14965,15445,16177
Arapahoe,County,391572,488829,572158,618821
Archuleta,County,5345,9894,12084,12244
Baca,County,4556,4517,3788,3645
Bent,County,5048,5996,6499,5630
Boulder,County,225339,269784,294571,313333
"Broomfield (formerly included in Adams, Boulder, Jefferson & Weld)",County,...,39202,55860,62138
Chaffee,County,12684,16250,17809,18363
Cheyenne,County,2397,2229,1836,1871
Clear Creek,County,7619,9263,9088,9187
Conejos,County,7453,8400,8256,8265
Costilla,County,3190,3661,3524,3568
Crowley,County,3946,5514,5823,5360
Custer,County,1926,3508,4255,4361
Delta,County,20980,27824,30952,29870
Denver,County,467549,553805,600025,663862
Dolores,County,1504,1844,2064,1978
Douglas,County,60391,175732,285465,314638
Eagle,County,21928,41623,52197,52921
Elbert,County,9646,19855,23086,24195
El Paso,County,397014,516934,622261,663519
Fremont,County,32273,46140,46824,46502
Garfield,County,29974,43786,56389,57461
Gilpin,County,3070,4746,5441,5851
Grand,County,7966,12433,14843,14546
Gunnison,County,10273,14000,15324,15725
Hinsdale,County,467,792,843,786
Huerfano,County,6009,7859,6711,6462
Jackson,County,1605,1577,1394,1396
Jefferson,County,438430,525449,534583,558503
Kiowa,County,1688,1622,1398,1402
Kit Carson,County,7140,8013,8270,8072
Lake,County,6007,7814,7310,7357
La Plata,County,32284,43957,51334,53989
Larimer,County,186136,251489,299630,324122
Las Animas,County,13765,15212,15507,14052
Lincoln,County,4529,6089,5469,5510
Logan,County,17567,20566,22709,22524
Mesa,County,93145,116939,146723,148255
Mineral,County,558,831,712,698
Moffat,County,11357,13178,13795,12928
Montezuma,County,18672,23822,25535,25772
Montrose,County,24423,33438,41278,40873
Morgan,County,21939,27172,28159,28328
Otero,County,20185,20311,18831,18488
Ouray,County,2295,3747,4434,4629
Park,County,7174,14519,16201,16345
Phillips,County,4189,4485,4442,4363
Pitkin,County,12661,14889,17148,17626
Prowers,County,13347,14483,12551,12034
Pueblo,County,123051,141490,159063,161875
Rio Blanco,County,6051,5992,6666,6707
Rio Grande,County,10770,12425,11982,11607
Routt,County,14088,19679,23509,23865
Saguache,County,4619,5904,6108,6196
San Juan,County,745,558,699,720
San Miguel,County,3653,6593,7359,7840
Sedgwick,County,2690,2747,2379,2348
Summit,County,12881,23560,27994,29404
Teller,County,12468,20541,23350,23389
Washington,County,4812,4922,4814,4780
Weld,County,131821,180766,252837,277670
Yuma,County,8954,9846,10043,10202
Connecticut,Federal State,3287116,3405650,3574096,3596677
Fairfield,County,827645,882622,916828,945438
Hartford,County,851783,857184,894029,897985
Litchfield,County,174092,182183,189927,184993
Middlesex,County,143196,155088,165676,164943
New Haven,County,804219,823993,862474,861277
New London,County,254957,259108,274046,273676
Tolland,County,128699,136377,152682,151367
Windham,County,102525,109095,118434,116998
Delaware,Federal State,666168,783559,897936,935614
Kent,County,110993,126771,162344,171987
New Castle,County,441946,500294,538477,552778
Sussex,County,113229,156494,197115,210849
District of Columbia (DC),Federal District,606900,572086,601767,658893
"District of Columbia (Washington, D.C.)",Federal District,606900,572086,601767,658893
Florida,Federal State,12938071,15982571,18804623,19893297
Alachua,County,181596,217964,247335,256380
Baker,County,18486,22255,27115,27093
Bay,County,126994,148270,168852,178985
Bradford,County,22515,26096,28520,26702
Brevard,County,398978,476299,543378,556885
Broward,County,1255531,1622974,1748148,1869235
Calhoun,County,11011,13002,14625,14532
Charlotte,County,110975,141620,159989,168474
Citrus,County,93513,118106,141236,139377
Clay,County,105986,140788,190865,199798
Collier,County,152099,251412,321520,348777
Columbia,County,42613,56413,67532,67857
DeSoto,County,23865,32204,34862,35012
Dixie,County,10585,13758,16422,15907
Duval,County,672971,778896,864263,897698
Escambia,County,262445,294415,297619,310659
Flagler,County,28701,49818,95696,102408
Franklin,County,8967,9827,11549,11815
Gadsden,County,41116,45017,47746,46281
Gilchrist,County,9667,14429,16939,16997
Glades,County,7591,10531,12884,13635
Gulf,County,11504,14548,15863,15944
Hamilton,County,10930,13321,14799,14048
Hardee,County,19499,26854,27731,27469
Hendry,County,25773,36184,39140,38505
Hernando,County,101115,130795,172777,175855
Highlands,County,68432,87391,98786,98236
Hillsborough,County,834054,998994,1229224,1316298
Holmes,County,15778,18564,19927,19650
Indian River,County,90208,112877,138028,144755
Jackson,County,41375,46781,49761,48801
Jefferson,County,11296,12876,14761,14050
Lafayette,County,5578,7019,8870,8835
Lake,County,152104,210418,297047,315690
Lee,County,335113,440910,618754,679513
Leon,County,192493,239509,275480,283988
Levy,County,25912,34448,40801,39613
Liberty,County,5569,7011,8365,8360
Madison,County,16569,18720,19226,18518
Manatee,County,211707,263996,322833,351746
Marion,County,194835,258873,331303,339167
Martin,County,100900,126777,146850,153392
Miami-Dade,County,1937194,2253793,2498017,2662874
Monroe,County,78024,79602,73090,77136
Nassau,County,43941,57645,73314,76619
Okaloosa,County,143777,170520,180822,196512
Okeechobee,County,29627,35869,39996,39149
Orange,County,677491,896123,1145954,1253001
Osceola,County,107728,172520,268687,310211
Palm Beach,County,863503,1131189,1320134,1397710
Pasco,County,281131,344749,464701,485331
Pinellas,County,851659,921500,916812,938098
Polk,County,405382,483888,602095,634638
Putnam,County,65070,70418,74364,72143
Santa Rosa,County,81961,117752,151372,163422
Sarasota,County,277776,326002,379437,396962
Seminole,County,287521,365448,422718,442516
St. Johns,County,83829,123237,190039,217919
St. Lucie,County,150171,192679,277257,291028
Sumter,County,31577,53337,93420,114350
Suwannee,County,26780,34881,41551,44022
Taylor,County,17111,19253,22568,22582
Union,County,10252,13428,15535,15190
Volusia,County,370737,443385,494597,507531
Wakulla,County,14202,22857,30783,31432
Walton,County,27759,40561,55043,61530
Washington,County,16919,20975,24896,24451
Georgia,Federal State,6478149,8186653,9688681,10097343
Appling,County,15744,17405,18236,18540
Atkinson,County,6213,7611,8382,8223
Bacon,County,9566,10098,11096,11281
Baker,County,3615,4047,3451,3255
Baldwin,County,39530,44616,45835,45909
Banks,County,10308,14425,18395,18295
Barrow,County,29721,46177,69367,73240
Bartow,County,55915,76062,100157,101736
Ben Hill,County,16245,17498,17634,17464
Berrien,County,14153,16210,19286,18700
Bibb,County,150137,153955,155510,153905
Bleckley,County,10430,11666,13063,12795
Brantley,County,11077,14608,18410,18417
Brooks,County,15398,16456,16324,15418
Bryan,County,15438,23430,30238,33906
Bulloch,County,43125,55961,70217,72087
Burke,County,20579,22255,23316,22709
Butts,County,15326,19460,23655,23368
Calhoun,County,5013,6317,6694,6463
Camden,County,30167,43658,50513,52027
Candler,County,7744,9561,10998,10888
Carroll,County,71422,87302,110591,114093
Catoosa,County,42464,53188,63940,65621
Charlton,County,8496,10282,12171,12897
Chatham,County,216774,232372,265133,283379
Chattahoochee,County,16934,14895,11267,11837
Chattooga,County,22236,25423,26015,24939
Cherokee,County,90204,142013,214346,230985
Clarke,County,87594,101941,116707,120938
Clay,County,3364,3342,3183,3102
Clayton,County,181436,236644,259467,267542
Clinch,County,6160,6847,6798,6831
Cobb,County,447745,607450,688076,730981
Coffee,County,29592,37421,42356,42811
Colquitt,County,36645,42050,45498,46102
Columbia,County,66031,89497,124053,139257
Cook,County,13456,15779,17212,17214
Coweta,County,53853,89254,127317,135571
Crawford,County,8991,12481,12630,12387
Crisp,County,20011,22020,23439,22934
Dade,County,13183,15141,16633,16389
Dawson,County,9429,15942,22339,22957
Decatur,County,25517,28252,27842,27220
DeKalb,County,546174,666158,691894,722161
Dodge,County,17607,19154,21797,20976
Dooly,County,9901,11480,14918,14188
Dougherty,County,96321,96067,94565,92407
Douglas,County,71120,92315,132339,138776
Early,County,11854,12333,11004,10491
Echols,County,2334,3747,4034,4003
Effingham,County,25687,37522,52250,55423
Elbert,County,18949,20509,20166,19438
Emanuel,County,20546,21856,22594,22755
Evans,County,8724,10485,11001,10898
Fannin,County,15992,19792,23693,23753
Fayette,County,62415,91313,106566,109664
Floyd,County,81251,90622,96317,96063
Forsyth,County,44083,98360,175511,204302
Franklin,County,16650,20259,22084,22264
Fulton,County,648776,815579,920579,996319
Gilmer,County,13368,23367,28281,28829
Glascock,County,2357,2563,3082,3053
Glynn,County,62496,67580,79626,82175
Gordon,County,35067,44090,55186,56047
Grady,County,20279,23655,25012,25359
Greene,County,11793,14363,15994,16490
Gwinnett,County,352910,588133,805324,877922
Habersham,County,27622,35884,43041,43752
Hall,County,95434,139615,179684,190761
Hancock,County,8908,10083,9402,8509
Haralson,County,21966,25660,28780,28641
Harris,County,17788,23783,32026,32876
Hart,County,19712,22981,25213,25377
Heard,County,8628,10980,11834,11603
Henry,County,58741,119498,203879,213869
Houston,County,89208,110740,139910,149111
Irwin,County,8649,9918,9538,9104
Jackson,County,30005,41612,60485,61870
Jasper,County,8453,11441,13900,13432
Jeff Davis,County,12032,12673,15068,14859
Jefferson,County,17408,17239,16930,16272
Jenkins,County,8247,8571,8340,9125
Johnson,County,8329,8526,9984,9701
Jones,County,20739,23691,28669,28787
Lamar,County,13038,15956,18317,18207
Lanier,County,5531,7246,10074,10373
Laurens,County,39988,44861,48434,47851
Lee,County,16250,24766,28298,29191
Liberty,County,52745,61661,63469,65198
Lincoln,County,7442,8330,7996,7622
Long,County,6202,10273,14448,17113
Lowndes,County,75981,92121,109233,113523
Lumpkin,County,14573,21041,29966,31176
Macon,County,13114,14041,14740,13792
