,D,norm
0,1,1040483.33333
1,3,295831.190718
2,4,122032.131455
3,9,306339.04284
4,12,336856.021348
5,27(Ⅰ),304631.588063
6,27(Ⅱ),393191.798624
7,27(Ⅲ),370061.370136
8,36(Ⅰ),340518.674273
9,36(Ⅱ),432605.358062
10,81(Ⅰ),638695.541968
11,81(Ⅱ),321690.389351
12,81(Ⅲ),311102.724923
13,81(Ⅳ),601482.739987
14,81(Ⅴ),468898.838254
15,81(Ⅵ),469484.196783
16,108(Ⅰ),299076.014084
17,108(Ⅱ),376238.092221
18,108(Ⅲ),429563.956373
19,108(Ⅳ),289832.888374
20,108(Ⅴ),377049.172869
21,108(Ⅵ),457050.644033
22,324(Ⅰ),416192.741053
23,324(Ⅱ),305132.871561
24,324(Ⅲ),295622.459167
25,324(Ⅳ),393532.210269
26,324(Ⅴ),429177.134295
27,324(Ⅵ),477338.468078
28,324(Ⅶ),540288.169057
29,324(Ⅷ),364789.69194
30,324(Ⅸ),291880.880559
31,324(Ⅹ),494586.332585
32,324(ⅩⅠ),554468.681369
33,324(ⅩⅡ),430342.657496
34,324(ⅩⅢ),532338.708056
35,324(ⅩⅣ),463529.161498
36,324(ⅩⅤ),427409.396998
